"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2511","test_password_from_secret_same_as_cli","tests.integration","Thu Jun 26 03:34:08 UTC 2025","passed","Thu Jun 26 03:34:10 UTC 2025","","test_password_rotation","",""
"","0","test_canonical_livepatch_onprem_bundle_db","tests.integration","Thu Jun 26 04:20:25 UTC 2025","skipped","Thu Jun 26 04:20:25 UTC 2025","","test_db","",""
"","3","test_database_is_up[1]","tests.integration","Thu Jun 26 03:58:51 UTC 2025","passed","Thu Jun 26 03:58:51 UTC 2025","","test_charm","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","473979","test_plugins","tests.integration","Thu Jun 26 03:51:25 UTC 2025","passed","Thu Jun 26 03:59:19 UTC 2025","","test_plugins","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","Thu Jun 26 03:54:33 UTC 2025","skipped","Thu Jun 26 03:54:33 UTC 2025","","test_backups_gcp","",""
"Build and deploy two units of PostgreSQL in GCP, test backup and restore actions.","0","test_backup_gcp","tests.integration","Thu Jun 26 03:54:33 UTC 2025","skipped","Thu Jun 26 03:54:33 UTC 2025","","test_backups_gcp","",""
"Test that the password can't be set to an empty string.","35412","test_empty_password","tests.integration","Thu Jun 26 03:34:10 UTC 2025","passed","Thu Jun 26 03:34:46 UTC 2025","","test_password_rotation","",""
"Test promoting the standby cluster.","277298","test_promote_standby","tests.integration.ha_tests","Thu Jun 26 04:36:21 UTC 2025","passed","Thu Jun 26 04:40:59 UTC 2025","","test_async_replication","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","593840","test_deploy_stable","tests.integration.ha_tests","Thu Jun 26 03:55:37 UTC 2025","passed","Thu Jun 26 04:05:31 UTC 2025","","test_upgrade_from_stable","",""
"Completely cut and restore network.","542223","test_network_cut","tests.integration.ha_tests","Thu Jun 26 04:12:27 UTC 2025","passed","Thu Jun 26 04:21:30 UTC 2025","","test_self_healing","",""
"Test that async replication fails back correctly.","131457","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","Thu Jun 26 04:52:56 UTC 2025","passed","Thu Jun 26 04:55:08 UTC 2025","","test_async_replication","",""
"Test that the admin role gives access to all the databases.","197488","test_admin_role","tests.integration.new_relations","Thu Jun 26 03:44:51 UTC 2025","passed","Thu Jun 26 03:48:09 UTC 2025","","test_new_relations_1","",""
"Test that the pre-upgrade-check action runs successfully.","2459","test_pre_upgrade_check","tests.integration.ha_tests","Thu Jun 26 04:05:31 UTC 2025","passed","Thu Jun 26 04:05:33 UTC 2025","","test_upgrade_from_stable","",""
"","20503","test_extensions_blocking","tests.integration","Thu Jun 26 04:20:04 UTC 2025","passed","Thu Jun 26 04:20:25 UTC 2025","","test_db","",""
"","555245","test_removing_unit[roles0]","tests.integration.ha_tests","Thu Jun 26 03:43:35 UTC 2025","passed","Thu Jun 26 03:52:51 UTC 2025","","test_scaling_three_units","",""
"","0","test_deploy","tests.integration","Thu Jun 26 04:08:44 UTC 2025","skipped","Thu Jun 26 04:08:44 UTC 2025","","test_subordinates","",""
"Test that there is no read-only endpoint in a standalone cluster.","43978","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","Thu Jun 26 03:11:04 UTC 2025","passed","Thu Jun 26 03:11:48 UTC 2025","","test_new_relations_1","",""
"","61454","test_constant","tests.integration.ha_tests","Thu Jun 26 03:21:07 UTC 2025","passed","Thu Jun 26 03:22:08 UTC 2025","","test_synchronous_policy","",""
"Recreates the cluster from storage volumes.","1253052","test_cluster_restore","tests.integration.ha_tests","Thu Jun 26 04:28:18 UTC 2025","passed","Thu Jun 26 04:49:11 UTC 2025","","test_restore_cluster","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","138091","test_plugin_objects","tests.integration","Thu Jun 26 03:59:19 UTC 2025","passed","Thu Jun 26 04:01:37 UTC 2025","","test_plugins","",""
"","501257","test_freeze_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Thu Jun 26 03:56:19 UTC 2025","passed","Thu Jun 26 04:04:40 UTC 2025","","test_self_healing","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","137689","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","Thu Jun 26 04:08:29 UTC 2025","passed","Thu Jun 26 04:10:47 UTC 2025","","test_self_healing","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","180560","test_config_parameters","tests.integration","Thu Jun 26 04:06:10 UTC 2025","passed","Thu Jun 26 04:09:10 UTC 2025","","test_config","",""
"","16092","test_default_all","tests.integration.ha_tests","Thu Jun 26 03:19:52 UTC 2025","passed","Thu Jun 26 03:20:08 UTC 2025","","test_synchronous_policy","",""
"Test that the pre-upgrade-check action runs successfully.","3260","test_pre_upgrade_check","tests.integration.ha_tests","Thu Jun 26 04:27:32 UTC 2025","passed","Thu Jun 26 04:27:35 UTC 2025","","test_upgrade","",""
"Deploy both charms (application and database) to use in the tests.","547041","test_deploy_charms","tests.integration.new_relations","Thu Jun 26 03:01:57 UTC 2025","passed","Thu Jun 26 03:11:04 UTC 2025","","test_new_relations_1","",""
"Build the charm and deploy it.","634351","test_deploy_active","tests.integration","Thu Jun 26 03:16:16 UTC 2025","passed","Thu Jun 26 03:26:51 UTC 2025","","test_password_rotation","",""
"Test data persists through a primary deletion.","504803","test_persist_data_through_primary_deletion","tests.integration","Thu Jun 26 04:55:37 UTC 2025","broken","Thu Jun 26 05:04:02 UTC 2025","","test_charm","",""
"Deploy Mailman3 Core to test the 'db' relation.","702404","test_mailman3_core_db","tests.integration","Thu Jun 26 03:49:34 UTC 2025","passed","Thu Jun 26 04:01:16 UTC 2025","","test_db","",""
"","1397597","test_removing_raft_majority","tests.integration.ha_tests","Thu Jun 26 04:48:23 UTC 2025","passed","Thu Jun 26 05:11:41 UTC 2025","","test_scaling","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","83615","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Thu Jun 26 04:10:57 UTC 2025","passed","Thu Jun 26 04:12:21 UTC 2025","","test_self_healing","",""
"Test that an application can request additional databases using the same interface.","70654","test_an_application_can_request_multiple_databases","tests.integration.new_relations","Thu Jun 26 03:26:02 UTC 2025","passed","Thu Jun 26 03:27:13 UTC 2025","","test_new_relations_1","",""
"Test that two different application connect to the database with different credentials.","135612","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","Thu Jun 26 03:21:04 UTC 2025","passed","Thu Jun 26 03:23:20 UTC 2025","","test_new_relations_1","",""
"","159921","test_freeze_db_process[postgres]","tests.integration.ha_tests","Thu Jun 26 03:53:38 UTC 2025","passed","Thu Jun 26 03:56:18 UTC 2025","","test_self_healing","",""
