"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Completely cut and restore network (situation when the unit IP doesn't change).","0","test_network_cut_without_ip_change","tests.integration.ha_tests","Tue Jul 08 04:36:13 UTC 2025","skipped","Tue Jul 08 04:36:13 UTC 2025","","test_self_healing","",""
"Test that's possible to change PostgreSQL parameters.","133227","test_postgresql_parameters_change","tests.integration","Tue Jul 08 03:44:54 UTC 2025","passed","Tue Jul 08 03:47:07 UTC 2025","","test_charm","",""
"Test async replication between two PostgreSQL clusters.","547821","test_async_replication","tests.integration.ha_tests","Tue Jul 08 03:45:13 UTC 2025","passed","Tue Jul 08 03:54:21 UTC 2025","","test_async_replication","",""
"","214584","test_freeze_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Tue Jul 08 04:16:55 UTC 2025","passed","Tue Jul 08 04:20:30 UTC 2025","","test_self_healing","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","154793","test_full_cluster_restart[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Tue Jul 08 04:22:06 UTC 2025","passed","Tue Jul 08 04:24:41 UTC 2025","","test_self_healing","",""
"Test that an application can connect to different clusters of the same database.","84184","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","Tue Jul 08 03:32:48 UTC 2025","passed","Tue Jul 08 03:34:12 UTC 2025","","test_new_relations_1","",""
"Build, deploy two units of PostgreSQL and do backup in GCP. Then, write new data into DB, switch WAL file and test point-in-time-recovery restore action.","0","test_pitr_backup_gcp","tests.integration","Tue Jul 08 03:03:01 UTC 2025","skipped","Tue Jul 08 03:03:01 UTC 2025","","test_backups_pitr_gcp","",""
"Test that the pre-upgrade-check action runs successfully.","3715","test_pre_upgrade_check","tests.integration.ha_tests","Tue Jul 08 04:17:54 UTC 2025","passed","Tue Jul 08 04:17:58 UTC 2025","","test_upgrade_from_stable","",""
"","264865","test_upgrade_from_edge","tests.integration.ha_tests","Tue Jul 08 04:13:16 UTC 2025","passed","Tue Jul 08 04:17:41 UTC 2025","","test_upgrade","",""
"Deploy the charm-under-test.

    Assert on the unit status before any relations/configurations take place.
    ","653842","test_deploy","tests.integration","Tue Jul 08 03:33:56 UTC 2025","passed","Tue Jul 08 03:44:50 UTC 2025","","test_charm","",""
"","580555","test_removing_unit[roles2]","tests.integration.ha_tests","Tue Jul 08 04:15:20 UTC 2025","passed","Tue Jul 08 04:25:01 UTC 2025","","test_scaling_three_units_async","",""
"Recreates the cluster from storage volumes.","1196117","test_cluster_restore","tests.integration.ha_tests","Tue Jul 08 04:01:08 UTC 2025","passed","Tue Jul 08 04:21:04 UTC 2025","","test_restore_cluster","",""
"Test that the admin role gives access to all the databases.","195203","test_admin_role","tests.integration.new_relations","Tue Jul 08 03:53:12 UTC 2025","passed","Tue Jul 08 03:56:28 UTC 2025","","test_new_relations_1","",""
"Remove unit with force while storage is alive.","175910","test_app_force_removal","tests.integration.ha_tests","Tue Jul 08 04:24:50 UTC 2025","passed","Tue Jul 08 04:27:46 UTC 2025","","test_smoke","",""
"Test switching over to the second cluster.","750491","test_switchover","tests.integration.ha_tests","Tue Jul 08 03:54:23 UTC 2025","passed","Tue Jul 08 04:06:54 UTC 2025","","test_async_replication","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","Tue Jul 08 02:53:22 UTC 2025","skipped","Tue Jul 08 02:53:22 UTC 2025","","test_backups_gcp","",""
"","38","test_exporter_is_up[0]","tests.integration","Tue Jul 08 03:44:50 UTC 2025","passed","Tue Jul 08 03:44:50 UTC 2025","","test_charm","",""
"","425536","test_removing_stereo_sync_standby","tests.integration.ha_tests","Tue Jul 08 04:44:18 UTC 2025","passed","Tue Jul 08 04:51:24 UTC 2025","","test_scaling","",""
"","4","test_database_is_up[0]","tests.integration","Tue Jul 08 03:44:50 UTC 2025","passed","Tue Jul 08 03:44:50 UTC 2025","","test_charm","",""
"Test that an application can connect to different clusters of the same database.","88418","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","Tue Jul 08 03:31:20 UTC 2025","passed","Tue Jul 08 03:32:48 UTC 2025","","test_new_relations_1","",""
"Build the charm and deploy it.","651622","test_deploy_active","tests.integration","Tue Jul 08 03:55:10 UTC 2025","passed","Tue Jul 08 04:06:01 UTC 2025","","test_password_rotation","",""
"","1017","test_get_data_integrator_credentials","tests.integration.ha_tests","Tue Jul 08 03:54:22 UTC 2025","passed","Tue Jul 08 03:54:23 UTC 2025","","test_async_replication","",""
"Test that there is no read-only endpoint in a standalone cluster.","42357","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","Tue Jul 08 03:19:00 UTC 2025","passed","Tue Jul 08 03:19:42 UTC 2025","","test_new_relations_1","",""
"Build and deploy two PostgreSQL clusters.","407363","test_build_and_deploy","tests.integration.ha_tests","Tue Jul 08 04:27:10 UTC 2025","passed","Tue Jul 08 04:33:57 UTC 2025","","test_scaling","",""
"Deploy Landscape Scalable Bundle to test the 'db-admin' relation.","1936614","test_landscape_scalable_bundle_db","tests.integration","Tue Jul 08 03:18:48 UTC 2025","passed","Tue Jul 08 03:51:04 UTC 2025","","test_db_admin","",""
"","517297","test_pg_hba","tests.integration","Tue Jul 08 03:57:12 UTC 2025","passed","Tue Jul 08 04:05:49 UTC 2025","","test_pg_hba","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","914303","test_deploy_async_replication_setup","tests.integration.ha_tests","Tue Jul 08 03:29:59 UTC 2025","passed","Tue Jul 08 03:45:13 UTC 2025","","test_async_replication","",""
"Test updating from stable channel.","452208","test_upgrade_from_stable","tests.integration.ha_tests","Tue Jul 08 04:17:58 UTC 2025","passed","Tue Jul 08 04:25:30 UTC 2025","","test_upgrade_from_stable","",""
"","641178","test_scale_to_five_units","tests.integration.ha_tests","Tue Jul 08 04:51:25 UTC 2025","passed","Tue Jul 08 05:02:06 UTC 2025","","test_scaling","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","Tue Jul 08 02:53:22 UTC 2025","skipped","Tue Jul 08 02:53:22 UTC 2025","","test_backups_gcp","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","147818","test_plugin_objects","tests.integration","Tue Jul 08 04:17:10 UTC 2025","passed","Tue Jul 08 04:19:38 UTC 2025","","test_plugins","",""
"Test that relation data, like connection data, is updated correctly when scaling.","1017345","test_relation_data_is_updated_correctly_when_scaling","tests.integration.new_relations","Tue Jul 08 03:35:23 UTC 2025","passed","Tue Jul 08 03:52:21 UTC 2025","","test_new_relations_1","",""
"Build, deploy two units of PostgreSQL and do backup in AWS. Then, write new data into DB, switch WAL file and test point-in-time-recovery restore action.","0","test_pitr_backup_aws","tests.integration","Tue Jul 08 02:52:42 UTC 2025","skipped","Tue Jul 08 02:52:42 UTC 2025","","test_backups_pitr_aws","",""
"Test the audit plugin.","286494","test_audit_plugin","tests.integration","Tue Jul 08 03:34:38 UTC 2025","passed","Tue Jul 08 03:39:24 UTC 2025","","test_audit","",""
"Test basic functionality of database relation interface.","3681","test_database_relation_with_charm_libraries","tests.integration.new_relations","Tue Jul 08 03:25:38 UTC 2025","passed","Tue Jul 08 03:25:42 UTC 2025","","test_new_relations_1","",""
"","0","test_scale_down","tests.integration","Tue Jul 08 03:57:44 UTC 2025","skipped","Tue Jul 08 03:57:44 UTC 2025","","test_subordinates","",""
"","187","test_switchover_sync_standby","tests.integration","Tue Jul 08 04:43:46 UTC 2025","broken","Tue Jul 08 04:43:46 UTC 2025","","test_charm","",""
"","624485","test_removing_unit[roles4]","tests.integration.ha_tests","Tue Jul 08 04:36:44 UTC 2025","failed","Tue Jul 08 04:47:08 UTC 2025","","test_scaling_three_units_async","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","193343","test_config_parameters","tests.integration","Tue Jul 08 03:11:42 UTC 2025","passed","Tue Jul 08 03:14:55 UTC 2025","","test_config","",""
"","20486","test_extensions_blocking","tests.integration","Tue Jul 08 03:28:00 UTC 2025","passed","Tue Jul 08 03:28:20 UTC 2025","","test_db","",""
"","0","test_deploy","tests.integration","Tue Jul 08 03:57:44 UTC 2025","skipped","Tue Jul 08 03:57:44 UTC 2025","","test_subordinates","",""
"Test that async replication fails over correctly.","42873","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","Tue Jul 08 04:21:09 UTC 2025","failed","Tue Jul 08 04:21:52 UTC 2025","","test_async_replication","",""
"","47","test_exporter_is_up[1]","tests.integration","Tue Jul 08 03:44:50 UTC 2025","passed","Tue Jul 08 03:44:50 UTC 2025","","test_charm","",""
"Build and deploy two PostgreSQL clusters.","705420","test_build_and_deploy","tests.integration.ha_tests","Tue Jul 08 03:44:06 UTC 2025","passed","Tue Jul 08 03:55:51 UTC 2025","","test_scaling_three_units_async","",""
"","235288","test_invalid_extra_user_roles","tests.integration.new_relations","Tue Jul 08 03:56:28 UTC 2025","passed","Tue Jul 08 04:00:23 UTC 2025","","test_new_relations_1","",""
"Test password rotation action.","408455","test_password_rotation","tests.integration","Tue Jul 08 04:06:01 UTC 2025","passed","Tue Jul 08 04:12:50 UTC 2025","","test_password_rotation","",""
"","2042","test_settings_are_correct[0]","tests.integration","Tue Jul 08 03:44:50 UTC 2025","passed","Tue Jul 08 03:44:52 UTC 2025","","test_charm","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","0","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","Tue Jul 08 04:36:13 UTC 2025","skipped","Tue Jul 08 04:36:13 UTC 2025","","test_self_healing","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","610500","test_deploy_stable","tests.integration.ha_tests","Tue Jul 08 04:07:43 UTC 2025","passed","Tue Jul 08 04:17:54 UTC 2025","","test_upgrade_from_stable","",""
"","85913","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","Tue Jul 08 04:08:42 UTC 2025","passed","Tue Jul 08 04:10:08 UTC 2025","","test_self_healing","",""
"Test superuser actions and the request for more permissions.","374","test_user_with_extra_roles","tests.integration.new_relations","Tue Jul 08 03:29:01 UTC 2025","broken","Tue Jul 08 03:29:01 UTC 2025","","test_new_relations_1","",""
"Deploy both charms (application and database) to use in the tests.","234233","test_deploy_charms","tests.integration.relations","Tue Jul 08 04:09:48 UTC 2025","passed","Tue Jul 08 04:13:42 UTC 2025","","test_relations","",""
"Test that two different application connect to the database with different credentials.","138577","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","Tue Jul 08 03:29:01 UTC 2025","passed","Tue Jul 08 03:31:20 UTC 2025","","test_new_relations_1","",""
"Test application deploy in dirty environment with garbage storage from another application.","1010627","test_app_resources_conflicts_v3","tests.integration.ha_tests","Tue Jul 08 04:35:34 UTC 2025","passed","Tue Jul 08 04:52:25 UTC 2025","","test_smoke","",""
"Build and deploy three unit of PostgreSQL.","742676","test_build_and_deploy","tests.integration.ha_tests","Tue Jul 08 03:47:41 UTC 2025","passed","Tue Jul 08 04:00:04 UTC 2025","","test_self_healing","",""
"Kill primary unit, check reelection.","195684","test_reelection","tests.integration.ha_tests","Tue Jul 08 04:29:08 UTC 2025","passed","Tue Jul 08 04:32:24 UTC 2025","","test_replication","",""
"","79349","test_interruption_db_process[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Tue Jul 08 04:10:09 UTC 2025","passed","Tue Jul 08 04:11:28 UTC 2025","","test_self_healing","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","466364","test_plugins","tests.integration","Tue Jul 08 04:09:24 UTC 2025","passed","Tue Jul 08 04:17:10 UTC 2025","","test_plugins","",""
"Build and deploy two PostgreSQL clusters.","675886","test_build_and_deploy","tests.integration.ha_tests","Tue Jul 08 03:52:07 UTC 2025","passed","Tue Jul 08 04:03:23 UTC 2025","","test_synchronous_policy","",""
"Test that passwords don't get exposed on postgresql logs.","603","test_no_password_exposed_on_logs","tests.integration","Tue Jul 08 04:13:39 UTC 2025","passed","Tue Jul 08 04:13:40 UTC 2025","","test_password_rotation","",""
"","185","test_postgresql_locales","tests.integration","Tue Jul 08 03:44:54 UTC 2025","passed","Tue Jul 08 03:44:54 UTC 2025","","test_charm","",""
"Test that async replication fails back correctly.","0","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","Tue Jul 08 04:22:00 UTC 2025","skipped","Tue Jul 08 04:22:00 UTC 2025","","test_async_replication","",""
"Test promoting the standby cluster.","249400","test_promote_standby","tests.integration.ha_tests","Tue Jul 08 04:07:01 UTC 2025","passed","Tue Jul 08 04:11:10 UTC 2025","","test_async_replication","",""
"","37972","test_default_all","tests.integration.ha_tests","Tue Jul 08 04:03:23 UTC 2025","passed","Tue Jul 08 04:04:01 UTC 2025","","test_synchronous_policy","",""
"","0","test_scale_up","tests.integration","Tue Jul 08 03:57:44 UTC 2025","skipped","Tue Jul 08 03:57:44 UTC 2025","","test_subordinates","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","82001","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","Tue Jul 08 04:24:51 UTC 2025","passed","Tue Jul 08 04:26:13 UTC 2025","","test_self_healing","",""
"Test that the relation can be broken and re-established.","596557","test_reestablish_relation","tests.integration.ha_tests","Tue Jul 08 04:11:11 UTC 2025","passed","Tue Jul 08 04:21:08 UTC 2025","","test_async_replication","",""
"Test data persists through a primary deletion.","516901","test_persist_data_through_primary_deletion","tests.integration","Tue Jul 08 04:43:46 UTC 2025","broken","Tue Jul 08 04:52:23 UTC 2025","","test_charm","",""
"","602447","test_removing_unit[roles0]","tests.integration.ha_tests","Tue Jul 08 03:32:58 UTC 2025","passed","Tue Jul 08 03:43:00 UTC 2025","","test_scaling_three_units","",""
"Test that TLS is enabled when relating to the TLS Certificates Operator.","1104068","test_tls_enabled","tests.integration","Tue Jul 08 04:17:18 UTC 2025","passed","Tue Jul 08 04:35:43 UTC 2025","","test_tls","",""
"","638061","test_removing_unit[roles0]","tests.integration.ha_tests","Tue Jul 08 03:55:51 UTC 2025","passed","Tue Jul 08 04:06:29 UTC 2025","","test_scaling_three_units_async","",""
"Build and deploy two PostgreSQL clusters.","856609","test_build_and_deploy","tests.integration.ha_tests","Tue Jul 08 03:46:51 UTC 2025","passed","Tue Jul 08 04:01:08 UTC 2025","","test_restore_cluster","",""
"Test that the pre-upgrade-check action runs successfully.","3206","test_pre_upgrade_check","tests.integration.ha_tests","Tue Jul 08 04:13:13 UTC 2025","passed","Tue Jul 08 04:13:16 UTC 2025","","test_upgrade","",""
"Build and deploy two units of PostgreSQL in GCP, test backup and restore actions.","0","test_backup_gcp","tests.integration","Tue Jul 08 02:53:22 UTC 2025","skipped","Tue Jul 08 02:53:22 UTC 2025","","test_backups_gcp","",""
"Test that the password can't be set to an empty string.","35311","test_empty_password","tests.integration","Tue Jul 08 04:12:52 UTC 2025","passed","Tue Jul 08 04:13:28 UTC 2025","","test_password_rotation","",""
"","0","test_canonical_livepatch_onprem_bundle_db","tests.integration","Tue Jul 08 03:28:20 UTC 2025","skipped","Tue Jul 08 03:28:20 UTC 2025","","test_db","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    ","512970","test_storage_re_use","tests.integration.ha_tests","Tue Jul 08 04:00:04 UTC 2025","passed","Tue Jul 08 04:08:37 UTC 2025","","test_self_healing","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2350","test_password_from_secret_same_as_cli","tests.integration","Tue Jul 08 04:12:50 UTC 2025","passed","Tue Jul 08 04:12:52 UTC 2025","","test_password_rotation","",""
"","701170","test_removing_unit[roles3]","tests.integration.ha_tests","Tue Jul 08 04:25:02 UTC 2025","passed","Tue Jul 08 04:36:43 UTC 2025","","test_scaling_three_units_async","",""
"Test that a relation with no database name doesn't block the charm.","51667","test_relation_with_no_database_name","tests.integration.new_relations","Tue Jul 08 03:52:21 UTC 2025","passed","Tue Jul 08 03:53:12 UTC 2025","","test_new_relations_1","",""
