"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Completely cut and restore network.","529905","test_network_cut","tests.integration.ha_tests","Sat Jul 26 04:41:04 UTC 2025","passed","Sat Jul 26 04:49:54 UTC 2025","","test_self_healing","",""
"","0","test_nextcloud_db_blocked","tests.integration.new_relations","Sat Jul 26 03:29:30 UTC 2025","skipped","Sat Jul 26 03:29:30 UTC 2025","","test_new_relations_2","",""
"","53","test_exporter_is_up[2]","tests.integration","Sat Jul 26 03:26:43 UTC 2025","passed","Sat Jul 26 03:26:43 UTC 2025","","test_charm","",""
"Test data persists through a primary deletion.","449517","test_persist_data_through_primary_deletion","tests.integration","Sat Jul 26 03:58:20 UTC 2025","passed","Sat Jul 26 04:05:49 UTC 2025","","test_charm","",""
"Test that a relation with no database name doesn't block the charm.","55026","test_relation_with_no_database_name","tests.integration.new_relations","Sat Jul 26 04:39:45 UTC 2025","passed","Sat Jul 26 04:40:40 UTC 2025","","test_new_relations_1","",""
"","607917","test_removing_unit[roles0]","tests.integration.ha_tests","Sat Jul 26 03:45:05 UTC 2025","passed","Sat Jul 26 03:55:13 UTC 2025","","test_scaling_three_units","",""
"","20462","test_extensions_blocking","tests.integration","Sat Jul 26 04:02:51 UTC 2025","passed","Sat Jul 26 04:03:11 UTC 2025","","test_db","",""
"","267963","test_upgrade_from_edge","tests.integration.ha_tests","Sat Jul 26 04:25:37 UTC 2025","passed","Sat Jul 26 04:30:05 UTC 2025","","test_upgrade","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","215028","test_config_parameters","tests.integration","Sat Jul 26 03:36:47 UTC 2025","passed","Sat Jul 26 03:40:22 UTC 2025","","test_config","",""
"Kill primary unit, check reelection.","199589","test_reelection","tests.integration.ha_tests","Sat Jul 26 03:45:52 UTC 2025","passed","Sat Jul 26 03:49:12 UTC 2025","","test_replication","",""
"","0","test_deploy","tests.integration","Sat Jul 26 03:37:54 UTC 2025","skipped","Sat Jul 26 03:37:54 UTC 2025","","test_subordinates","",""
"Test promoting the standby cluster.","268857","test_promote_standby","tests.integration.ha_tests","Sat Jul 26 03:52:40 UTC 2025","passed","Sat Jul 26 03:57:09 UTC 2025","","test_async_replication","",""
"Recreates the cluster from storage volumes.","1184653","test_cluster_restore","tests.integration.ha_tests","Sat Jul 26 03:13:59 UTC 2025","passed","Sat Jul 26 03:33:44 UTC 2025","","test_restore_cluster","",""
"","198853","test_filter_out_degraded_replicas","tests.integration.new_relations","Sat Jul 26 04:11:11 UTC 2025","passed","Sat Jul 26 04:14:30 UTC 2025","","test_new_relations_1","",""
"Test updating from stable channel.","411831","test_upgrade_from_stable","tests.integration.ha_tests","Sat Jul 26 04:02:13 UTC 2025","passed","Sat Jul 26 04:09:05 UTC 2025","","test_upgrade_from_stable","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","465855","test_deploy_latest","tests.integration.ha_tests","Sat Jul 26 04:17:48 UTC 2025","passed","Sat Jul 26 04:25:34 UTC 2025","","test_upgrade","",""
"","939200","test_removing_unit[roles3]","tests.integration.ha_tests","Sat Jul 26 04:16:38 UTC 2025","passed","Sat Jul 26 04:32:17 UTC 2025","","test_scaling_three_units","",""
"","20646","test_switchover_sync_standby","tests.integration","Sat Jul 26 03:57:59 UTC 2025","passed","Sat Jul 26 03:58:20 UTC 2025","","test_charm","",""
"Completely cut and restore network (situation when the unit IP doesn't change).","321851","test_network_cut_without_ip_change","tests.integration.ha_tests","Sat Jul 26 04:49:55 UTC 2025","failed","Sat Jul 26 04:55:16 UTC 2025","","test_self_healing","",""
"Build and deploy two PostgreSQL clusters.","800375","test_build_and_deploy","tests.integration.ha_tests","Sat Jul 26 03:31:45 UTC 2025","passed","Sat Jul 26 03:45:05 UTC 2025","","test_scaling_three_units","",""
"","798464","test_removing_unit[roles4]","tests.integration.ha_tests","Sat Jul 26 05:05:37 UTC 2025","passed","Sat Jul 26 05:18:55 UTC 2025","","test_scaling_three_units_async","",""
"","521663","test_removing_unit[roles1]","tests.integration.ha_tests","Sat Jul 26 04:29:18 UTC 2025","passed","Sat Jul 26 04:38:00 UTC 2025","","test_scaling_three_units_async","",""
"Build, deploy two units of PostgreSQL and do backup in AWS. Then, write new data into DB, switch WAL file and test point-in-time-recovery restore action.","0","test_pitr_backup_aws","tests.integration","Sat Jul 26 03:44:37 UTC 2025","skipped","Sat Jul 26 03:44:37 UTC 2025","","test_backups_pitr_aws","",""
"","298248","test_freeze_db_process[postgres]","tests.integration.ha_tests","Sat Jul 26 04:21:05 UTC 2025","passed","Sat Jul 26 04:26:03 UTC 2025","","test_self_healing","",""
"Test that an application can connect to different clusters of the same database.","87307","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","Sat Jul 26 04:17:20 UTC 2025","passed","Sat Jul 26 04:18:47 UTC 2025","","test_new_relations_1","",""
"","81221","test_interruption_db_process[SIGKILL-postgres]","tests.integration.ha_tests","Sat Jul 26 04:18:23 UTC 2025","passed","Sat Jul 26 04:19:44 UTC 2025","","test_self_healing","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","144945","test_full_cluster_restart[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Sat Jul 26 04:35:16 UTC 2025","passed","Sat Jul 26 04:37:41 UTC 2025","","test_self_healing","",""
"Write to primary, read data from secondaries (check consistency).","11888","test_consistency","tests.integration.ha_tests","Sat Jul 26 03:49:13 UTC 2025","passed","Sat Jul 26 03:49:25 UTC 2025","","test_replication","",""
"","4","test_database_is_up[0]","tests.integration","Sat Jul 26 03:26:43 UTC 2025","passed","Sat Jul 26 03:26:43 UTC 2025","","test_charm","",""
"Deploy Mailman3 Core to test the 'db' relation.","730787","test_mailman3_core_db","tests.integration","Sat Jul 26 03:34:26 UTC 2025","passed","Sat Jul 26 03:46:37 UTC 2025","","test_db","",""
"Test that the relation can be broken and re-established.","556294","test_reestablish_relation","tests.integration.ha_tests","Sat Jul 26 03:57:10 UTC 2025","passed","Sat Jul 26 04:06:26 UTC 2025","","test_async_replication","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","96005","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","Sat Jul 26 04:37:50 UTC 2025","passed","Sat Jul 26 04:39:26 UTC 2025","","test_self_healing","",""
"Test that the password can't be set to an empty string.","34273","test_empty_password","tests.integration","Sat Jul 26 04:28:00 UTC 2025","passed","Sat Jul 26 04:28:34 UTC 2025","","test_password_rotation","",""
"Test that two different application connect to the database with different credentials.","169660","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","Sat Jul 26 04:14:30 UTC 2025","passed","Sat Jul 26 04:17:20 UTC 2025","","test_new_relations_1","",""
"","3","test_database_is_up[2]","tests.integration","Sat Jul 26 03:26:43 UTC 2025","passed","Sat Jul 26 03:26:43 UTC 2025","","test_charm","",""
"Test that's possible to change PostgreSQL parameters.","155528","test_postgresql_parameters_change","tests.integration","Sat Jul 26 03:26:48 UTC 2025","passed","Sat Jul 26 03:29:24 UTC 2025","","test_charm","",""
"","1034","test_settings_are_correct[1]","tests.integration","Sat Jul 26 03:26:44 UTC 2025","passed","Sat Jul 26 03:26:45 UTC 2025","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","92753","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","Sat Jul 26 04:33:35 UTC 2025","passed","Sat Jul 26 04:35:08 UTC 2025","","test_self_healing","",""
"","79280","test_interruption_db_process[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Sat Jul 26 04:19:45 UTC 2025","passed","Sat Jul 26 04:21:04 UTC 2025","","test_self_healing","",""
"","0","test_canonical_livepatch_onprem_bundle_db","tests.integration","Sat Jul 26 04:03:11 UTC 2025","skipped","Sat Jul 26 04:03:11 UTC 2025","","test_db","",""
"Test that there is read-only endpoint in a scaled up cluster.","390505","test_read_only_endpoint_in_scaled_up_cluster","tests.integration.new_relations","Sat Jul 26 04:04:37 UTC 2025","passed","Sat Jul 26 04:11:08 UTC 2025","","test_new_relations_1","",""
"Build and deploy two PostgreSQL clusters.","657682","test_build_and_deploy","tests.integration.ha_tests","Sat Jul 26 04:16:27 UTC 2025","passed","Sat Jul 26 04:27:24 UTC 2025","","test_synchronous_policy","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","Sat Jul 26 04:11:25 UTC 2025","skipped","Sat Jul 26 04:11:25 UTC 2025","","test_backups_gcp","",""
"Test that there is no read-only endpoint in a standalone cluster.","40293","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","Sat Jul 26 04:03:57 UTC 2025","passed","Sat Jul 26 04:04:37 UTC 2025","","test_new_relations_1","",""
