"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","569767","test_removing_unit[roles0]","tests.integration.ha_tests","Mon Jun 23 03:38:34 UTC 2025","passed","Mon Jun 23 03:48:04 UTC 2025","","test_scaling_three_units_async","",""
"","425939","test_freeze_db_process[postgres]","tests.integration.ha_tests","Mon Jun 23 03:56:51 UTC 2025","passed","Mon Jun 23 04:03:57 UTC 2025","","test_self_healing","",""
"","208","test_postgresql_locales","tests.integration","Mon Jun 23 04:06:41 UTC 2025","passed","Mon Jun 23 04:06:41 UTC 2025","","test_charm","",""
"","239473","test_filter_out_degraded_replicas","tests.integration.new_relations","Mon Jun 23 03:30:05 UTC 2025","passed","Mon Jun 23 03:34:05 UTC 2025","","test_new_relations_1","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","89934","test_full_cluster_restart[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Mon Jun 23 04:08:47 UTC 2025","passed","Mon Jun 23 04:10:17 UTC 2025","","test_self_healing","",""
"Test that async replication fails back correctly.","125154","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","Mon Jun 23 04:20:52 UTC 2025","passed","Mon Jun 23 04:22:58 UTC 2025","","test_async_replication","",""
"","2037","test_settings_are_correct[2]","tests.integration","Mon Jun 23 04:06:39 UTC 2025","passed","Mon Jun 23 04:06:41 UTC 2025","","test_charm","",""
"Test switching over to the second cluster.","956478","test_switchover","tests.integration.ha_tests","Mon Jun 23 03:49:18 UTC 2025","passed","Mon Jun 23 04:05:15 UTC 2025","","test_async_replication","",""
"","3","test_database_is_up[2]","tests.integration","Mon Jun 23 04:06:37 UTC 2025","passed","Mon Jun 23 04:06:37 UTC 2025","","test_charm","",""
"Build and deploy two units of PostgreSQL in GCP, test backup and restore actions.","0","test_backup_gcp","tests.integration","Mon Jun 23 04:19:42 UTC 2025","skipped","Mon Jun 23 04:19:42 UTC 2025","","test_backups_gcp","",""
"Test that the admin role gives access to all the databases.","189223","test_admin_role","tests.integration.new_relations","Mon Jun 23 03:57:50 UTC 2025","passed","Mon Jun 23 04:01:00 UTC 2025","","test_new_relations_1","",""
