"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Build and deploy three unit of PostgreSQL.","729249","test_build_and_deploy","tests.integration.ha_tests","Wed Jul 23 03:14:46 UTC 2025","passed","Wed Jul 23 03:26:55 UTC 2025","","test_replication","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    ","739444","test_storage_re_use","tests.integration.ha_tests","Wed Jul 23 04:20:45 UTC 2025","passed","Wed Jul 23 04:33:05 UTC 2025","","test_self_healing","",""
"","52","test_exporter_is_up[1]","tests.integration","Wed Jul 23 03:53:38 UTC 2025","passed","Wed Jul 23 03:53:38 UTC 2025","","test_charm","",""
"Test that TLS is enabled when relating to the TLS Certificates Operator.","1108312","test_tls_enabled","tests.integration","Wed Jul 23 04:24:55 UTC 2025","passed","Wed Jul 23 04:43:23 UTC 2025","","test_tls","",""
"","865910","test_removing_unit[roles4]","tests.integration.ha_tests","Wed Jul 23 04:58:38 UTC 2025","passed","Wed Jul 23 05:13:03 UTC 2025","","test_scaling_three_units_async","",""
"Test that's possible to change PostgreSQL parameters.","151295","test_postgresql_parameters_change","tests.integration","Wed Jul 23 03:53:44 UTC 2025","passed","Wed Jul 23 03:56:15 UTC 2025","","test_charm","",""
"","198312","test_filter_out_degraded_replicas","tests.integration.new_relations","Wed Jul 23 04:05:54 UTC 2025","passed","Wed Jul 23 04:09:12 UTC 2025","","test_new_relations_1","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","80342","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","Wed Jul 23 04:48:55 UTC 2025","passed","Wed Jul 23 04:50:16 UTC 2025","","test_self_healing","",""
"Build the charm and deploy it.","668750","test_deploy_active","tests.integration","Wed Jul 23 03:05:55 UTC 2025","passed","Wed Jul 23 03:17:03 UTC 2025","","test_password_rotation","",""
"Test updating from stable channel.","382017","test_upgrade_from_stable","tests.integration.ha_tests","Wed Jul 23 04:33:35 UTC 2025","passed","Wed Jul 23 04:39:57 UTC 2025","","test_upgrade_from_stable","",""
"Test charm deploy in dirty environment with garbage storage.","498244","test_charm_garbage_ignorance","tests.integration.ha_tests","Wed Jul 23 04:04:36 UTC 2025","passed","Wed Jul 23 04:12:55 UTC 2025","","test_smoke","",""
"","171697","test_freeze_db_process[postgres]","tests.integration.ha_tests","Wed Jul 23 04:38:34 UTC 2025","passed","Wed Jul 23 04:41:26 UTC 2025","","test_self_healing","",""
"Completely cut and restore network.","112263","test_network_cut","tests.integration.ha_tests","Wed Jul 23 04:51:55 UTC 2025","broken","Wed Jul 23 04:53:47 UTC 2025","","test_self_healing","",""
"Test data is replicated to new units after a scale up.","1751168","test_scale_down_and_up","tests.integration","Wed Jul 23 03:56:15 UTC 2025","passed","Wed Jul 23 04:25:26 UTC 2025","","test_charm","",""
"Deploy both charms (application and database) to use in the tests.","789498","test_deploy_charms","tests.integration.new_relations","Wed Jul 23 03:45:12 UTC 2025","passed","Wed Jul 23 03:58:21 UTC 2025","","test_new_relations_1","",""
"Test that user can't connect with empty password.","3066","test_db_connection_with_empty_password","tests.integration","Wed Jul 23 03:18:18 UTC 2025","passed","Wed Jul 23 03:18:21 UTC 2025","","test_password_rotation","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","517348","test_plugins","tests.integration","Wed Jul 23 04:14:20 UTC 2025","passed","Wed Jul 23 04:22:57 UTC 2025","","test_plugins","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","213242","test_config_parameters","tests.integration","Wed Jul 23 03:50:48 UTC 2025","passed","Wed Jul 23 03:54:22 UTC 2025","","test_config","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","147045","test_plugin_objects","tests.integration","Wed Jul 23 04:22:57 UTC 2025","passed","Wed Jul 23 04:25:24 UTC 2025","","test_plugins","",""
"","81356","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","Wed Jul 23 04:33:10 UTC 2025","passed","Wed Jul 23 04:34:31 UTC 2025","","test_self_healing","",""
"Recreates the cluster from storage volumes.","1215240","test_cluster_restore","tests.integration.ha_tests","Wed Jul 23 04:40:39 UTC 2025","passed","Wed Jul 23 05:00:54 UTC 2025","","test_restore_cluster","",""
"","468237","test_pg_hba","tests.integration","Wed Jul 23 03:30:42 UTC 2025","passed","Wed Jul 23 03:38:30 UTC 2025","","test_pg_hba","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","489905","test_deploy_latest","tests.integration.ha_tests","Wed Jul 23 04:03:43 UTC 2025","passed","Wed Jul 23 04:11:53 UTC 2025","","test_upgrade","",""
"","814175","test_removing_unit[roles3]","tests.integration.ha_tests","Wed Jul 23 04:56:16 UTC 2025","passed","Wed Jul 23 05:09:50 UTC 2025","","test_scaling_three_units","",""
