"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that writes in one cluster are not replicated to another cluster.","0","test_no_data_replicated_between_clusters","tests.integration.ha_tests","Wed Aug 13 04:05:22 UTC 2025","skipped","Wed Aug 13 04:05:22 UTC 2025","","test_replication","",""
"Test that two different application connect to the database with different credentials.","0","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","Wed Aug 13 04:34:17 UTC 2025","skipped","Wed Aug 13 04:34:17 UTC 2025","","test_new_relations_1","",""
"","0","test_removing_unit[roles0]","tests.integration.ha_tests","Wed Aug 13 04:33:56 UTC 2025","skipped","Wed Aug 13 04:33:56 UTC 2025","","test_scaling_three_units","",""
"Test that in general, there is no change when password validation fails.","11595","test_no_password_change_on_invalid_password","tests.integration","Wed Aug 13 03:52:08 UTC 2025","passed","Wed Aug 13 03:52:19 UTC 2025","","test_password_rotation","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","0","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","Wed Aug 13 04:05:05 UTC 2025","skipped","Wed Aug 13 04:05:05 UTC 2025","","test_self_healing","",""
"Test that the pre-upgrade-check action runs successfully.","0","test_pre_upgrade_check","tests.integration.ha_tests","Wed Aug 13 04:07:42 UTC 2025","skipped","Wed Aug 13 04:07:42 UTC 2025","","test_upgrade_from_stable","",""
"","0","test_removing_unit[roles3]","tests.integration.ha_tests","Wed Aug 13 04:33:56 UTC 2025","skipped","Wed Aug 13 04:33:56 UTC 2025","","test_scaling_three_units","",""
"Test promoting the standby cluster.","0","test_promote_standby","tests.integration.ha_tests","Wed Aug 13 03:33:47 UTC 2025","skipped","Wed Aug 13 03:33:47 UTC 2025","","test_async_replication","",""
"Completely cut and restore network.","0","test_network_cut","tests.integration.ha_tests","Wed Aug 13 04:05:05 UTC 2025","skipped","Wed Aug 13 04:05:05 UTC 2025","","test_self_healing","",""
"Test that there is read-only endpoint in a scaled up cluster.","0","test_read_only_endpoint_in_scaled_up_cluster","tests.integration.new_relations","Wed Aug 13 04:34:17 UTC 2025","skipped","Wed Aug 13 04:34:17 UTC 2025","","test_new_relations_1","",""
"Write to primary, read data from secondaries (check consistency).","0","test_consistency","tests.integration.ha_tests","Wed Aug 13 04:05:22 UTC 2025","skipped","Wed Aug 13 04:05:22 UTC 2025","","test_replication","",""
"","0","test_filter_out_degraded_replicas","tests.integration.new_relations","Wed Aug 13 04:34:17 UTC 2025","skipped","Wed Aug 13 04:34:17 UTC 2025","","test_new_relations_1","",""
"","0","test_removing_unit[roles4]","tests.integration.ha_tests","Wed Aug 13 04:34:20 UTC 2025","skipped","Wed Aug 13 04:34:20 UTC 2025","","test_scaling_three_units_async","",""
"","44","test_exporter_is_up[1]","tests.integration","Wed Aug 13 04:07:04 UTC 2025","passed","Wed Aug 13 04:07:04 UTC 2025","","test_charm","",""
"Remove unit with force while storage is alive.","171132","test_app_force_removal","tests.integration.ha_tests","Wed Aug 13 03:21:36 UTC 2025","passed","Wed Aug 13 03:24:27 UTC 2025","","test_smoke","",""
"","0","test_interruption_db_process[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Wed Aug 13 04:05:05 UTC 2025","skipped","Wed Aug 13 04:05:05 UTC 2025","","test_self_healing","",""
"Test password rotation action.","448651","test_password_rotation","tests.integration","Wed Aug 13 03:43:58 UTC 2025","passed","Wed Aug 13 03:51:27 UTC 2025","","test_password_rotation","",""
"Build the charm and deploy it.","671221","test_deploy_active","tests.integration","Wed Aug 13 03:32:47 UTC 2025","passed","Wed Aug 13 03:43:58 UTC 2025","","test_password_rotation","",""
