"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2581","test_password_from_secret_same_as_cli","tests.integration","Sat Jun 14 02:59:19 UTC 2025","passed","Sat Jun 14 02:59:22 UTC 2025","","test_password_rotation","",""
"","669801","test_removing_unit[roles1]","tests.integration.ha_tests","Sat Jun 14 04:26:40 UTC 2025","passed","Sat Jun 14 04:37:49 UTC 2025","","test_scaling_three_units_async","",""
"Build and deploy two PostgreSQL clusters.","719467","test_build_and_deploy","tests.integration.ha_tests","Sat Jun 14 03:53:44 UTC 2025","passed","Sat Jun 14 04:05:44 UTC 2025","","test_scaling_three_units","",""
"Test that an application can request additional databases using the same interface.","70498","test_an_application_can_request_multiple_databases","tests.integration.new_relations","Sat Jun 14 04:19:20 UTC 2025","passed","Sat Jun 14 04:20:31 UTC 2025","","test_new_relations_1","",""
"Check that writes in one cluster are not replicated to another cluster.","588021","test_no_data_replicated_between_clusters","tests.integration.ha_tests","Sat Jun 14 04:06:47 UTC 2025","passed","Sat Jun 14 04:16:35 UTC 2025","","test_replication","",""
"","485433","test_removing_stereo_sync_standby","tests.integration.ha_tests","Sat Jun 14 04:07:33 UTC 2025","passed","Sat Jun 14 04:15:39 UTC 2025","","test_scaling","",""
"Test that async replication fails over correctly.","60544","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","Sat Jun 14 04:10:29 UTC 2025","passed","Sat Jun 14 04:11:30 UTC 2025","","test_async_replication","",""
"","224583","test_invalid_extra_user_roles","tests.integration.new_relations","Sat Jun 14 04:41:35 UTC 2025","passed","Sat Jun 14 04:45:20 UTC 2025","","test_new_relations_1","",""
"","794986","test_scale_to_five_units","tests.integration.ha_tests","Sat Jun 14 04:15:40 UTC 2025","passed","Sat Jun 14 04:28:55 UTC 2025","","test_scaling","",""
"","0","test_nextcloud_db_blocked","tests.integration.new_relations","Sat Jun 14 02:39:57 UTC 2025","skipped","Sat Jun 14 02:39:57 UTC 2025","","test_new_relations_2","",""
"","81820","test_interruption_db_process[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Sat Jun 14 04:24:55 UTC 2025","passed","Sat Jun 14 04:26:17 UTC 2025","","test_self_healing","",""
"Test that there is no read-only endpoint in a standalone cluster.","44470","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","Sat Jun 14 04:03:41 UTC 2025","passed","Sat Jun 14 04:04:25 UTC 2025","","test_new_relations_1","",""
