"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Build and deploy two PostgreSQL clusters.","1506587","test_build_and_deploy","tests.integration.ha_tests","Wed Aug 06 04:12:02 UTC 2025","broken","Wed Aug 06 04:37:09 UTC 2025","","test_scaling","",""
"Test that there is no read-only endpoint in a standalone cluster.","0","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","Wed Aug 06 05:01:11 UTC 2025","skipped","Wed Aug 06 05:01:11 UTC 2025","","test_new_relations_1","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","Wed Aug 06 03:44:43 UTC 2025","skipped","Wed Aug 06 03:44:43 UTC 2025","","test_backups_gcp","",""
"Deploy Landscape Scalable Bundle to test the 'db-admin' relation.","1758506","test_landscape_scalable_bundle_db","tests.integration","Wed Aug 06 03:49:30 UTC 2025","failed","Wed Aug 06 04:18:48 UTC 2025","","test_db_admin","",""
"","0","test_legacy_endpoint_with_multiple_related_endpoints","tests.integration.relations","Wed Aug 06 05:25:30 UTC 2025","skipped","Wed Aug 06 05:25:30 UTC 2025","","test_relations","",""
"","0","test_scale_down","tests.integration","Wed Aug 06 04:25:27 UTC 2025","skipped","Wed Aug 06 04:25:27 UTC 2025","","test_subordinates","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","Wed Aug 06 04:48:47 UTC 2025","skipped","Wed Aug 06 04:48:47 UTC 2025","","test_upgrade","",""
"","0","test_interruption_db_process[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Wed Aug 06 04:33:47 UTC 2025","skipped","Wed Aug 06 04:33:47 UTC 2025","","test_self_healing","",""
"Test that async replication fails back correctly.","0","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","Wed Aug 06 04:26:42 UTC 2025","skipped","Wed Aug 06 04:26:42 UTC 2025","","test_async_replication","",""
"Test password rotation action.","416306","test_password_rotation","tests.integration","Wed Aug 06 03:56:15 UTC 2025","passed","Wed Aug 06 04:03:12 UTC 2025","","test_password_rotation","",""
"Test that relation data, like connection data, is updated correctly when scaling.","1008223","test_relation_data_is_updated_correctly_when_scaling","tests.integration","Wed Aug 06 03:28:17 UTC 2025","passed","Wed Aug 06 03:45:05 UTC 2025","","test_db","",""
"Build and deploy three unit of PostgreSQL.","1509764","test_build_and_deploy","tests.integration.ha_tests","Wed Aug 06 04:08:32 UTC 2025","broken","Wed Aug 06 04:33:42 UTC 2025","","test_self_healing","",""
"Test that the password can't be set to an empty string.","34335","test_empty_password","tests.integration","Wed Aug 06 04:03:14 UTC 2025","passed","Wed Aug 06 04:03:48 UTC 2025","","test_password_rotation","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    ","0","test_storage_re_use","tests.integration.ha_tests","Wed Aug 06 04:33:42 UTC 2025","skipped","Wed Aug 06 04:33:42 UTC 2025","","test_self_healing","",""
"Test application deploy in dirty environment with garbage storage from another application.","0","test_app_resources_conflicts_v2","tests.integration.ha_tests","Wed Aug 06 04:46:17 UTC 2025","skipped","Wed Aug 06 04:46:17 UTC 2025","","test_smoke","",""
"","0","test_removing_unit[roles2]","tests.integration.ha_tests","Wed Aug 06 04:12:16 UTC 2025","skipped","Wed Aug 06 04:12:16 UTC 2025","","test_scaling_three_units_async","",""
"Test basic functionality of database relation interface.","0","test_database_relation_with_charm_libraries","tests.integration.new_relations","Wed Aug 06 05:01:11 UTC 2025","skipped","Wed Aug 06 05:01:11 UTC 2025","","test_new_relations_1","",""
"","0","test_canonical_livepatch_onprem_bundle_db","tests.integration","Wed Aug 06 04:18:31 UTC 2025","skipped","Wed Aug 06 04:18:31 UTC 2025","","test_db","",""
"Test updating from stable channel.","0","test_upgrade_from_stable","tests.integration.ha_tests","Wed Aug 06 04:32:50 UTC 2025","skipped","Wed Aug 06 04:32:50 UTC 2025","","test_upgrade_from_stable","",""
"Test charm deploy in dirty environment with garbage storage.","542997","test_charm_garbage_ignorance","tests.integration.ha_tests","Wed Aug 06 04:20:24 UTC 2025","passed","Wed Aug 06 04:29:27 UTC 2025","","test_smoke","",""
"Test that check relation data.","186797","test_relations","tests.integration.new_relations","Wed Aug 06 04:28:31 UTC 2025","broken","Wed Aug 06 04:31:38 UTC 2025","","test_relations_coherence","",""
"","0","test_filter_out_degraded_replicas","tests.integration.new_relations","Wed Aug 06 05:01:11 UTC 2025","skipped","Wed Aug 06 05:01:11 UTC 2025","","test_new_relations_1","",""
"","0","test_scale_up","tests.integration","Wed Aug 06 04:25:27 UTC 2025","skipped","Wed Aug 06 04:25:27 UTC 2025","","test_subordinates","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","469301","test_plugins","tests.integration","Wed Aug 06 03:20:55 UTC 2025","passed","Wed Aug 06 03:28:45 UTC 2025","","test_plugins","",""
"","0","test_deploy","tests.integration","Wed Aug 06 04:25:27 UTC 2025","skipped","Wed Aug 06 04:25:27 UTC 2025","","test_subordinates","",""
"","1005192","test_roles_blocking","tests.integration","Wed Aug 06 03:45:05 UTC 2025","broken","Wed Aug 06 04:01:50 UTC 2025","","test_db","",""
"","0","test_scale_to_five_units","tests.integration.ha_tests","Wed Aug 06 04:37:09 UTC 2025","skipped","Wed Aug 06 04:37:09 UTC 2025","","test_scaling","",""
"","1025","test_settings_are_correct[1]","tests.integration","Wed Aug 06 03:53:40 UTC 2025","passed","Wed Aug 06 03:53:41 UTC 2025","","test_charm","",""
