"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_scale_down","tests.integration","Thu Jun 19 04:18:07 UTC 2025","skipped","Thu Jun 19 04:18:07 UTC 2025","","test_subordinates","",""
"Recreates the cluster from storage volumes.","1260695","test_cluster_restore","tests.integration.ha_tests","Thu Jun 19 04:30:53 UTC 2025","passed","Thu Jun 19 04:51:53 UTC 2025","","test_restore_cluster","",""
"Build and deploy two units of PostgreSQL in AWS, test backup and restore actions.","0","test_backup_aws","tests.integration","Thu Jun 19 02:49:39 UTC 2025","skipped","Thu Jun 19 02:49:39 UTC 2025","","test_backups_aws","",""
"","61","test_exporter_is_up[1]","tests.integration","Thu Jun 19 03:00:38 UTC 2025","passed","Thu Jun 19 03:00:38 UTC 2025","","test_charm","",""
"Test that the pre-upgrade-check action runs successfully.","3210","test_pre_upgrade_check","tests.integration.ha_tests","Thu Jun 19 04:26:06 UTC 2025","passed","Thu Jun 19 04:26:09 UTC 2025","","test_upgrade_from_stable","",""
"Test that check relation data.","429612","test_relations","tests.integration.new_relations","Thu Jun 19 03:59:03 UTC 2025","passed","Thu Jun 19 04:06:12 UTC 2025","","test_relations_coherence","",""
"Test that two different application connect to the database with different credentials.","166041","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","Thu Jun 19 03:53:54 UTC 2025","passed","Thu Jun 19 03:56:40 UTC 2025","","test_new_relations_1","",""
"Test superuser actions and the request for more permissions.","435","test_user_with_extra_roles","tests.integration.new_relations","Thu Jun 19 03:53:54 UTC 2025","passed","Thu Jun 19 03:53:54 UTC 2025","","test_new_relations_1","",""
"Build and deploy two units of PostgreSQL in microceph, test backup and restore actions.","1301094","test_backup_ceph","tests.integration","Thu Jun 19 03:50:04 UTC 2025","passed","Thu Jun 19 04:11:45 UTC 2025","","test_backups_ceph","",""
"","134320","test_interruption_db_process[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Thu Jun 19 04:48:24 UTC 2025","passed","Thu Jun 19 04:50:39 UTC 2025","","test_self_healing","",""
"","5","test_database_is_up[0]","tests.integration","Thu Jun 19 03:00:38 UTC 2025","passed","Thu Jun 19 03:00:38 UTC 2025","","test_charm","",""
"","0","test_scale_up","tests.integration","Thu Jun 19 04:18:07 UTC 2025","skipped","Thu Jun 19 04:18:07 UTC 2025","","test_subordinates","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","91664","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","Thu Jun 19 04:59:45 UTC 2025","passed","Thu Jun 19 05:01:17 UTC 2025","","test_self_healing","",""
"","16070","test_default_all","tests.integration.ha_tests","Thu Jun 19 04:09:47 UTC 2025","passed","Thu Jun 19 04:10:03 UTC 2025","","test_synchronous_policy","",""
