"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1031","test_settings_are_correct[2]","tests.integration","Tue Jul 22 03:54:17 UTC 2025","passed","Tue Jul 22 03:54:18 UTC 2025","","test_charm","",""
"Test that async replication fails over correctly.","129171","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","Tue Jul 22 04:01:47 UTC 2025","passed","Tue Jul 22 04:03:56 UTC 2025","","test_async_replication","",""
"","16259","test_default_all","tests.integration.ha_tests","Tue Jul 22 03:51:41 UTC 2025","passed","Tue Jul 22 03:51:57 UTC 2025","","test_synchronous_policy","",""
"Build and deploy two units of PostgreSQL in microceph, test backup and restore actions.","1515246","test_backup_ceph","tests.integration","Tue Jul 22 04:01:23 UTC 2025","passed","Tue Jul 22 04:26:38 UTC 2025","","test_backups_ceph","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2576","test_password_from_secret_same_as_cli","tests.integration","Tue Jul 22 04:28:37 UTC 2025","passed","Tue Jul 22 04:28:40 UTC 2025","","test_password_rotation","",""
"","3","test_database_is_up[2]","tests.integration","Tue Jul 22 03:54:14 UTC 2025","passed","Tue Jul 22 03:54:14 UTC 2025","","test_charm","",""
"","541816","test_removing_unit[roles1]","tests.integration.ha_tests","Tue Jul 22 04:37:09 UTC 2025","passed","Tue Jul 22 04:46:11 UTC 2025","","test_scaling_three_units","",""
"Test promoting the standby cluster.","249652","test_promote_standby","tests.integration.ha_tests","Tue Jul 22 03:48:26 UTC 2025","passed","Tue Jul 22 03:52:35 UTC 2025","","test_async_replication","",""
"Build and deploy two PostgreSQL clusters.","817743","test_build_and_deploy","tests.integration.ha_tests","Tue Jul 22 03:33:44 UTC 2025","passed","Tue Jul 22 03:47:22 UTC 2025","","test_restore_cluster","",""
"Deploy Mailman3 Core to test the 'db' relation.","765135","test_mailman3_core_db","tests.integration","Tue Jul 22 03:21:07 UTC 2025","passed","Tue Jul 22 03:33:52 UTC 2025","","test_db","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    ","807398","test_storage_re_use","tests.integration.ha_tests","Tue Jul 22 04:02:09 UTC 2025","passed","Tue Jul 22 04:15:36 UTC 2025","","test_self_healing","",""
"","378","test_invalid_extra_user_roles","tests.integration.new_relations","Tue Jul 22 04:20:21 UTC 2025","broken","Tue Jul 22 04:20:22 UTC 2025","","test_new_relations_1","",""
"Test that the password can't be set to an empty string.","35372","test_empty_password","tests.integration","Tue Jul 22 04:28:40 UTC 2025","passed","Tue Jul 22 04:29:15 UTC 2025","","test_password_rotation","",""
"","828473","test_removing_unit[roles3]","tests.integration.ha_tests","Tue Jul 22 04:58:01 UTC 2025","passed","Tue Jul 22 05:11:50 UTC 2025","","test_scaling_three_units","",""
"","1315947","test_removing_raft_majority","tests.integration.ha_tests","Tue Jul 22 04:23:35 UTC 2025","passed","Tue Jul 22 04:45:31 UTC 2025","","test_scaling","",""
"Test charm deploy in dirty environment with garbage storage.","560144","test_charm_garbage_ignorance","tests.integration.ha_tests","Tue Jul 22 04:15:11 UTC 2025","passed","Tue Jul 22 04:24:31 UTC 2025","","test_smoke","",""
"","68370","test_majority","tests.integration.ha_tests","Tue Jul 22 03:51:57 UTC 2025","passed","Tue Jul 22 03:53:06 UTC 2025","","test_synchronous_policy","",""
"Build and deploy three unit of PostgreSQL.","759052","test_build_and_deploy","tests.integration.ha_tests","Tue Jul 22 03:49:30 UTC 2025","passed","Tue Jul 22 04:02:09 UTC 2025","","test_self_healing","",""
"Test that async replication works when scaling the clusters.","796057","test_scaling","tests.integration.ha_tests","Tue Jul 22 04:06:16 UTC 2025","passed","Tue Jul 22 04:19:32 UTC 2025","","test_async_replication","",""
"","167048","test_freeze_db_process[postgres]","tests.integration.ha_tests","Tue Jul 22 04:21:06 UTC 2025","passed","Tue Jul 22 04:23:54 UTC 2025","","test_self_healing","",""
"Test superuser actions and the request for more permissions.","356","test_user_with_extra_roles","tests.integration.new_relations","Tue Jul 22 03:56:49 UTC 2025","broken","Tue Jul 22 03:56:50 UTC 2025","","test_new_relations_1","",""
"","161390","test_freeze_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Tue Jul 22 04:23:55 UTC 2025","passed","Tue Jul 22 04:26:36 UTC 2025","","test_self_healing","",""
"","1022","test_data_integrator_creds_keep_on_working","tests.integration.ha_tests","Tue Jul 22 03:48:25 UTC 2025","passed","Tue Jul 22 03:48:26 UTC 2025","","test_async_replication","",""
"Deploy both charms (application and database) to use in the tests.","748619","test_deploy_charms","tests.integration.new_relations","Tue Jul 22 03:30:32 UTC 2025","passed","Tue Jul 22 03:43:01 UTC 2025","","test_new_relations_1","",""
"","527287","test_removing_unit[roles2]","tests.integration.ha_tests","Tue Jul 22 04:30:48 UTC 2025","passed","Tue Jul 22 04:39:35 UTC 2025","","test_scaling_three_units_async","",""
"","81593","test_interruption_db_process[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Tue Jul 22 04:17:03 UTC 2025","passed","Tue Jul 22 04:18:25 UTC 2025","","test_self_healing","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","1090137","test_deploy_async_replication_setup","tests.integration.ha_tests","Tue Jul 22 03:08:53 UTC 2025","passed","Tue Jul 22 03:27:03 UTC 2025","","test_async_replication","",""
"Build, deploy two units of PostgreSQL and do backup in AWS. Then, write new data into DB, switch WAL file and test point-in-time-recovery restore action.","0","test_pitr_backup_aws","tests.integration","Tue Jul 22 04:08:51 UTC 2025","skipped","Tue Jul 22 04:08:51 UTC 2025","","test_backups_pitr_aws","",""
"","20885","test_extensions_blocking","tests.integration","Tue Jul 22 03:53:05 UTC 2025","passed","Tue Jul 22 03:53:25 UTC 2025","","test_db","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","480799","test_deploy_latest","tests.integration.ha_tests","Tue Jul 22 04:27:40 UTC 2025","passed","Tue Jul 22 04:35:41 UTC 2025","","test_upgrade","",""
"Completely cut and restore network (situation when the unit IP doesn't change).","240367","test_network_cut_without_ip_change","tests.integration.ha_tests","Tue Jul 22 04:46:12 UTC 2025","passed","Tue Jul 22 04:50:13 UTC 2025","","test_self_healing","",""
"","280305","test_filter_out_degraded_replicas","tests.integration.new_relations","Tue Jul 22 03:52:09 UTC 2025","passed","Tue Jul 22 03:56:49 UTC 2025","","test_new_relations_1","",""
"","448258","test_removing_stereo_sync_standby","tests.integration.ha_tests","Tue Jul 22 04:02:29 UTC 2025","passed","Tue Jul 22 04:09:57 UTC 2025","","test_scaling","",""
"","0","test_nextcloud_db_blocked","tests.integration.new_relations","Tue Jul 22 03:17:38 UTC 2025","skipped","Tue Jul 22 03:17:38 UTC 2025","","test_new_relations_2","",""
"Build the charm and deploy it.","6542","test_deploy_active","tests.integration","Tue Jul 22 03:15:02 UTC 2025","passed","Tue Jul 22 03:15:09 UTC 2025","","test_tls","",""
"","1017","test_get_data_integrator_credentials","tests.integration.ha_tests","Tue Jul 22 03:35:40 UTC 2025","passed","Tue Jul 22 03:35:41 UTC 2025","","test_async_replication","",""
"","816960","test_scale_to_five_units","tests.integration.ha_tests","Tue Jul 22 04:09:58 UTC 2025","passed","Tue Jul 22 04:23:35 UTC 2025","","test_scaling","",""
"","83807","test_switchover_sync_standby","tests.integration","Tue Jul 22 04:24:35 UTC 2025","passed","Tue Jul 22 04:25:59 UTC 2025","","test_charm","",""
"","0","test_deploy","tests.integration","Tue Jul 22 03:04:23 UTC 2025","skipped","Tue Jul 22 03:04:23 UTC 2025","","test_subordinates","",""
"Build and deploy two PostgreSQL clusters.","688896","test_build_and_deploy","tests.integration.ha_tests","Tue Jul 22 03:40:12 UTC 2025","passed","Tue Jul 22 03:51:41 UTC 2025","","test_synchronous_policy","",""
"","264104","test_upgrade_from_edge","tests.integration.ha_tests","Tue Jul 22 04:35:44 UTC 2025","passed","Tue Jul 22 04:40:08 UTC 2025","","test_upgrade","",""
"","0","test_canonical_livepatch_onprem_bundle_db","tests.integration","Tue Jul 22 03:53:25 UTC 2025","skipped","Tue Jul 22 03:53:25 UTC 2025","","test_db","",""
"Test that an application can connect to different clusters of the same database.","82754","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","Tue Jul 22 03:59:30 UTC 2025","passed","Tue Jul 22 04:00:52 UTC 2025","","test_new_relations_1","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","93448","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","Tue Jul 22 04:26:43 UTC 2025","passed","Tue Jul 22 04:28:17 UTC 2025","","test_self_healing","",""
"","80256","test_interruption_db_process[SIGKILL-postgres]","tests.integration.ha_tests","Tue Jul 22 04:18:26 UTC 2025","passed","Tue Jul 22 04:19:46 UTC 2025","","test_self_healing","",""
"","58","test_exporter_is_up[1]","tests.integration","Tue Jul 22 03:54:14 UTC 2025","passed","Tue Jul 22 03:54:14 UTC 2025","","test_charm","",""
"Test that passwords don't get exposed on postgresql logs.","5870","test_no_password_exposed_on_logs","tests.integration","Tue Jul 22 04:29:29 UTC 2025","passed","Tue Jul 22 04:29:35 UTC 2025","","test_password_rotation","",""
"Build and deploy three unit of PostgreSQL.","738138","test_build_and_deploy","tests.integration.ha_tests","Tue Jul 22 04:08:50 UTC 2025","passed","Tue Jul 22 04:21:09 UTC 2025","","test_replication","",""
"","673208","test_removing_unit[roles0]","tests.integration.ha_tests","Tue Jul 22 04:25:55 UTC 2025","passed","Tue Jul 22 04:37:08 UTC 2025","","test_scaling_three_units","",""
"Build and deploy two PostgreSQL clusters.","718571","test_build_and_deploy","tests.integration.ha_tests","Tue Jul 22 04:13:56 UTC 2025","passed","Tue Jul 22 04:25:55 UTC 2025","","test_scaling_three_units","",""
"Test application deploy in dirty environment with garbage storage from another application.","0","test_app_resources_conflicts_v2","tests.integration.ha_tests","Tue Jul 22 04:41:21 UTC 2025","skipped","Tue Jul 22 04:41:21 UTC 2025","","test_smoke","",""
"Test basic functionality of database relation interface.","2105","test_database_relation_with_charm_libraries","tests.integration.new_relations","Tue Jul 22 03:52:07 UTC 2025","broken","Tue Jul 22 03:52:09 UTC 2025","","test_new_relations_1","",""
"","5","test_database_is_up[0]","tests.integration","Tue Jul 22 03:54:14 UTC 2025","passed","Tue Jul 22 03:54:14 UTC 2025","","test_charm","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","463261","test_plugins","tests.integration","Tue Jul 22 03:39:52 UTC 2025","passed","Tue Jul 22 03:47:36 UTC 2025","","test_plugins","",""
"","542552","test_removing_unit[roles1]","tests.integration.ha_tests","Tue Jul 22 04:21:44 UTC 2025","passed","Tue Jul 22 04:30:47 UTC 2025","","test_scaling_three_units_async","",""
