"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that writes in one cluster are not replicated to another cluster.","581633","test_no_data_replicated_between_clusters","tests.integration.ha_tests","Mon Jul 07 03:52:05 UTC 2025","passed","Mon Jul 07 04:01:47 UTC 2025","","test_replication","",""
"Deploy both charms (application and database) to use in the tests.","238677","test_deploy_charms","tests.integration.relations","Mon Jul 07 03:57:15 UTC 2025","passed","Mon Jul 07 04:01:14 UTC 2025","","test_relations","",""
"Deploy Mailman3 Core to test the 'db' relation.","715328","test_mailman3_core_db","tests.integration","Mon Jul 07 03:21:02 UTC 2025","passed","Mon Jul 07 03:32:58 UTC 2025","","test_db","",""
"Test that TLS is enabled when relating to the TLS Certificates Operator.","913425","test_tls_enabled","tests.integration","Mon Jul 07 03:58:04 UTC 2025","passed","Mon Jul 07 04:13:17 UTC 2025","","test_tls","",""
"","595571","test_removing_unit[roles0]","tests.integration.ha_tests","Mon Jul 07 04:14:05 UTC 2025","passed","Mon Jul 07 04:24:01 UTC 2025","","test_scaling_three_units_async","",""
"Test that passwords don't get exposed on postgresql logs.","4854","test_no_password_exposed_on_logs","tests.integration","Mon Jul 07 04:07:27 UTC 2025","passed","Mon Jul 07 04:07:32 UTC 2025","","test_password_rotation","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","186645","test_config_parameters","tests.integration","Mon Jul 07 03:56:53 UTC 2025","passed","Mon Jul 07 04:00:00 UTC 2025","","test_config","",""
"Completely cut and restore network.","0","test_network_cut","tests.integration.ha_tests","Mon Jul 07 04:07:00 UTC 2025","skipped","Mon Jul 07 04:07:00 UTC 2025","","test_self_healing","",""
"","586611","test_scale_to_five_units","tests.integration.ha_tests","Mon Jul 07 03:49:10 UTC 2025","passed","Mon Jul 07 03:58:56 UTC 2025","","test_scaling","",""
"","51","test_exporter_is_up[2]","tests.integration","Mon Jul 07 04:32:30 UTC 2025","passed","Mon Jul 07 04:32:30 UTC 2025","","test_charm","",""
"Build and deploy two PostgreSQL clusters.","697877","test_build_and_deploy","tests.integration.ha_tests","Mon Jul 07 04:02:27 UTC 2025","passed","Mon Jul 07 04:14:05 UTC 2025","","test_scaling_three_units_async","",""
"Test promoting the standby cluster.","38652","test_promote_standby","tests.integration.ha_tests","Mon Jul 07 03:42:42 UTC 2025","broken","Mon Jul 07 03:43:21 UTC 2025","","test_async_replication","",""
"Test that async replication works when scaling the clusters.","0","test_scaling","tests.integration.ha_tests","Mon Jul 07 03:43:24 UTC 2025","skipped","Mon Jul 07 03:43:24 UTC 2025","","test_async_replication","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","142577","test_plugin_objects","tests.integration","Mon Jul 07 03:21:52 UTC 2025","passed","Mon Jul 07 03:24:15 UTC 2025","","test_plugins","",""
"Test that check relation data.","408432","test_relations","tests.integration.new_relations","Mon Jul 07 04:15:21 UTC 2025","passed","Mon Jul 07 04:22:09 UTC 2025","","test_relations_coherence","",""
"Build and deploy two units of PostgreSQL in microceph, test backup and restore actions.","1291271","test_backup_ceph","tests.integration","Mon Jul 07 03:31:34 UTC 2025","passed","Mon Jul 07 03:53:05 UTC 2025","","test_backups_ceph","",""
"Build and deploy two PostgreSQL clusters.","798376","test_build_and_deploy","tests.integration.ha_tests","Mon Jul 07 04:21:26 UTC 2025","passed","Mon Jul 07 04:34:44 UTC 2025","","test_restore_cluster","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    ","766624","test_storage_re_use","tests.integration.ha_tests","Mon Jul 07 03:39:13 UTC 2025","passed","Mon Jul 07 03:51:59 UTC 2025","","test_self_healing","",""
"Test that the pre-upgrade-check action runs successfully.","3216","test_pre_upgrade_check","tests.integration.ha_tests","Mon Jul 07 03:58:02 UTC 2025","passed","Mon Jul 07 03:58:05 UTC 2025","","test_upgrade","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","603632","test_deploy_stable","tests.integration.ha_tests","Mon Jul 07 03:43:51 UTC 2025","passed","Mon Jul 07 03:53:55 UTC 2025","","test_upgrade_from_stable","",""
"","0","test_nextcloud_db_blocked","tests.integration.new_relations","Mon Jul 07 03:53:19 UTC 2025","skipped","Mon Jul 07 03:53:19 UTC 2025","","test_new_relations_2","",""
"","57","test_exporter_is_up[0]","tests.integration","Mon Jul 07 04:32:29 UTC 2025","passed","Mon Jul 07 04:32:30 UTC 2025","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Mon Jul 07 04:07:00 UTC 2025","skipped","Mon Jul 07 04:07:00 UTC 2025","","test_self_healing","",""
"","0","test_scale_up","tests.integration","Mon Jul 07 04:11:12 UTC 2025","skipped","Mon Jul 07 04:11:12 UTC 2025","","test_subordinates","",""
"","1083208","test_removing_unit[roles3]","tests.integration.ha_tests","Mon Jul 07 04:41:16 UTC 2025","passed","Mon Jul 07 04:59:19 UTC 2025","","test_scaling_three_units_async","",""
"","119715","test_roles_blocking","tests.integration","Mon Jul 07 03:55:00 UTC 2025","passed","Mon Jul 07 03:57:00 UTC 2025","","test_db","",""
"","79233","test_interruption_db_process[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Mon Jul 07 03:56:12 UTC 2025","passed","Mon Jul 07 03:57:31 UTC 2025","","test_self_healing","",""
"Test that the pre-upgrade-check action runs successfully.","3349","test_pre_upgrade_check","tests.integration.ha_tests","Mon Jul 07 03:53:55 UTC 2025","passed","Mon Jul 07 03:53:58 UTC 2025","","test_upgrade_from_stable","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","Mon Jul 07 03:54:10 UTC 2025","skipped","Mon Jul 07 03:54:10 UTC 2025","","test_backups_gcp","",""
"Test application deploy in dirty environment with garbage storage from another application.","0","test_app_resources_conflicts_v2","tests.integration.ha_tests","Mon Jul 07 04:50:45 UTC 2025","skipped","Mon Jul 07 04:50:45 UTC 2025","","test_smoke","",""
"Build and deploy two PostgreSQL clusters.","586071","test_build_and_deploy","tests.integration.ha_tests","Mon Jul 07 03:22:04 UTC 2025","passed","Mon Jul 07 03:31:50 UTC 2025","","test_scaling","",""
"Build and deploy two PostgreSQL clusters.","693130","test_build_and_deploy","tests.integration.ha_tests","Mon Jul 07 04:13:02 UTC 2025","passed","Mon Jul 07 04:24:35 UTC 2025","","test_scaling_three_units","",""
"","240710","test_fail_and_rollback","tests.integration.ha_tests","Mon Jul 07 04:02:20 UTC 2025","passed","Mon Jul 07 04:06:21 UTC 2025","","test_upgrade","",""
"","15984","test_default_all","tests.integration.ha_tests","Mon Jul 07 04:18:59 UTC 2025","passed","Mon Jul 07 04:19:15 UTC 2025","","test_synchronous_policy","",""
"","0","test_scale_down","tests.integration","Mon Jul 07 04:11:12 UTC 2025","skipped","Mon Jul 07 04:11:12 UTC 2025","","test_subordinates","",""
"","4","test_database_is_up[0]","tests.integration","Mon Jul 07 04:32:29 UTC 2025","passed","Mon Jul 07 04:32:29 UTC 2025","","test_charm","",""
"Test basic functionality of database relation interface.","3586","test_database_relation_with_charm_libraries","tests.integration.new_relations","Mon Jul 07 03:52:03 UTC 2025","passed","Mon Jul 07 03:52:07 UTC 2025","","test_new_relations_1","",""
"Completely cut and restore network (situation when the unit IP doesn't change).","0","test_network_cut_without_ip_change","tests.integration.ha_tests","Mon Jul 07 04:07:00 UTC 2025","skipped","Mon Jul 07 04:07:00 UTC 2025","","test_self_healing","",""
"Build the charm and deploy it.","664728","test_deploy_active","tests.integration","Mon Jul 07 03:48:12 UTC 2025","passed","Mon Jul 07 03:59:16 UTC 2025","","test_password_rotation","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","954246","test_deploy_async_replication_setup","tests.integration.ha_tests","Mon Jul 07 03:01:48 UTC 2025","passed","Mon Jul 07 03:17:42 UTC 2025","","test_async_replication","",""
"","1035","test_settings_are_correct[0]","tests.integration","Mon Jul 07 04:32:30 UTC 2025","passed","Mon Jul 07 04:32:31 UTC 2025","","test_charm","",""
"","141109","test_modern_endpoint_with_multiple_related_endpoints","tests.integration.relations","Mon Jul 07 04:04:03 UTC 2025","passed","Mon Jul 07 04:06:24 UTC 2025","","test_relations","",""
"","1138143","test_removing_unit[roles4]","tests.integration.ha_tests","Mon Jul 07 04:59:21 UTC 2025","passed","Mon Jul 07 05:18:19 UTC 2025","","test_scaling_three_units_async","",""
"Test that the password can't be set to an empty string.","36372","test_empty_password","tests.integration","Mon Jul 07 04:06:37 UTC 2025","passed","Mon Jul 07 04:07:14 UTC 2025","","test_password_rotation","",""
"","80863","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","Mon Jul 07 03:52:04 UTC 2025","passed","Mon Jul 07 03:53:25 UTC 2025","","test_self_healing","",""
"Test that an application can connect to different clusters of the same database.","0","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","Mon Jul 07 03:56:38 UTC 2025","skipped","Mon Jul 07 03:56:38 UTC 2025","","test_new_relations_1","",""
