"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that async replication works when scaling the clusters.","748330","test_scaling","tests.integration.ha_tests","Tue Jun 17 03:51:32 UTC 2025","passed","Tue Jun 17 04:04:00 UTC 2025","","test_async_replication","",""
"Remove unit with force while storage is alive.","211661","test_app_force_removal","tests.integration.ha_tests","Tue Jun 17 03:54:02 UTC 2025","passed","Tue Jun 17 03:57:34 UTC 2025","","test_smoke","",""
"Test that async replication fails back correctly.","127393","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","Tue Jun 17 03:49:24 UTC 2025","passed","Tue Jun 17 03:51:31 UTC 2025","","test_async_replication","",""
"","0","test_canonical_livepatch_onprem_bundle_db","tests.integration","Tue Jun 17 03:48:41 UTC 2025","skipped","Tue Jun 17 03:48:41 UTC 2025","","test_db","",""
"Test updating from stable channel.","471892","test_upgrade_from_stable","tests.integration.ha_tests","Tue Jun 17 03:57:04 UTC 2025","passed","Tue Jun 17 04:04:56 UTC 2025","","test_upgrade_from_stable","",""
"","83078","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","Tue Jun 17 04:31:16 UTC 2025","passed","Tue Jun 17 04:32:40 UTC 2025","","test_self_healing","",""
"","697076","test_removing_stereo_primary","tests.integration.ha_tests","Tue Jun 17 04:05:30 UTC 2025","passed","Tue Jun 17 04:17:07 UTC 2025","","test_scaling","",""
"","1044678","test_removing_unit[roles4]","tests.integration.ha_tests","Tue Jun 17 04:37:32 UTC 2025","passed","Tue Jun 17 04:54:56 UTC 2025","","test_scaling_three_units_async","",""
"Build, deploy two units of PostgreSQL and do backup in AWS. Then, write new data into DB, switch WAL file and test point-in-time-recovery restore action.","0","test_pitr_backup_aws","tests.integration","Tue Jun 17 04:02:46 UTC 2025","skipped","Tue Jun 17 04:02:46 UTC 2025","","test_backups_pitr_aws","",""
"Test basic functionality of database relation interface.","3635","test_database_relation_with_charm_libraries","tests.integration.new_relations","Tue Jun 17 03:41:36 UTC 2025","passed","Tue Jun 17 03:41:39 UTC 2025","","test_new_relations_1","",""
"","","test_removing_unit[roles2]","tests.integration.ha_tests","","unknown","","","test_scaling_three_units","",""
"","633924","test_removing_unit[roles0]","tests.integration.ha_tests","Tue Jun 17 03:44:27 UTC 2025","passed","Tue Jun 17 03:55:01 UTC 2025","","test_scaling_three_units_async","",""
"","196361","test_filter_out_degraded_replicas","tests.integration.new_relations","Tue Jun 17 03:41:39 UTC 2025","passed","Tue Jun 17 03:44:56 UTC 2025","","test_new_relations_1","",""
"Test superuser actions and the request for more permissions.","406","test_user_with_extra_roles","tests.integration.new_relations","Tue Jun 17 03:44:56 UTC 2025","passed","Tue Jun 17 03:44:56 UTC 2025","","test_new_relations_1","",""
"Build and deploy two units of PostgreSQL in AWS, test backup and restore actions.","0","test_backup_aws","tests.integration","Tue Jun 17 02:49:20 UTC 2025","skipped","Tue Jun 17 02:49:20 UTC 2025","","test_backups_aws","",""
"","3","test_database_is_up[0]","tests.integration","Tue Jun 17 04:11:12 UTC 2025","passed","Tue Jun 17 04:11:12 UTC 2025","","test_charm","",""
"Deploy Landscape Scalable Bundle to test the 'db-admin' relation.","2020373","test_landscape_scalable_bundle_db","tests.integration","Tue Jun 17 02:53:27 UTC 2025","passed","Tue Jun 17 03:27:07 UTC 2025","","test_db_admin","",""
