"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test application deploy in dirty environment with garbage storage from another application.","1010468","test_app_resources_conflicts_v3","tests.integration.ha_tests","Tue Aug 05 04:25:48 UTC 2025","passed","Tue Aug 05 04:42:38 UTC 2025","","test_smoke","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","Tue Aug 05 04:38:33 UTC 2025","skipped","Tue Aug 05 04:38:33 UTC 2025","","test_self_healing","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","Tue Aug 05 04:38:33 UTC 2025","skipped","Tue Aug 05 04:38:33 UTC 2025","","test_self_healing","",""
"","0","test_removing_unit[roles3]","tests.integration.ha_tests","Tue Aug 05 03:35:29 UTC 2025","skipped","Tue Aug 05 03:35:29 UTC 2025","","test_scaling_three_units_async","",""
"","0","test_removing_stereo_primary","tests.integration.ha_tests","Tue Aug 05 04:49:19 UTC 2025","skipped","Tue Aug 05 04:49:19 UTC 2025","","test_scaling","",""
"","0","test_get_data_integrator_credentials","tests.integration.ha_tests","Tue Aug 05 04:34:59 UTC 2025","skipped","Tue Aug 05 04:34:59 UTC 2025","","test_async_replication","",""
"Test that's possible to change PostgreSQL parameters.","168652","test_postgresql_parameters_change","tests.integration","Tue Aug 05 03:21:25 UTC 2025","passed","Tue Aug 05 03:24:13 UTC 2025","","test_charm","",""
"Build and deploy three unit of PostgreSQL.","1510345","test_build_and_deploy","tests.integration.ha_tests","Tue Aug 05 03:48:43 UTC 2025","broken","Tue Aug 05 04:13:54 UTC 2025","","test_replication","",""
"","0","test_filter_out_degraded_replicas","tests.integration.new_relations","Tue Aug 05 04:09:12 UTC 2025","skipped","Tue Aug 05 04:09:12 UTC 2025","","test_new_relations_1","",""
"Build and deploy three unit of PostgreSQL.","1509330","test_build_and_deploy","tests.integration.ha_tests","Tue Aug 05 04:13:19 UTC 2025","broken","Tue Aug 05 04:38:29 UTC 2025","","test_self_healing","",""
