"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that writes in one cluster are not replicated to another cluster.","0","test_no_data_replicated_between_clusters","tests.integration.ha_tests","Wed Jul 30 04:29:50 UTC 2025","skipped","Wed Jul 30 04:29:50 UTC 2025","","test_replication","",""
"Build, deploy two units of PostgreSQL and do backup in GCP. Then, write new data into DB, switch WAL file and test point-in-time-recovery restore action.","0","test_pitr_backup_gcp","tests.integration","Wed Jul 30 03:59:59 UTC 2025","skipped","Wed Jul 30 03:59:59 UTC 2025","","test_backups_pitr_gcp","",""
"Test application deploy in dirty environment with garbage storage from another application.","1013745","test_app_resources_conflicts_v3","tests.integration.ha_tests","Wed Jul 30 04:34:19 UTC 2025","passed","Wed Jul 30 04:51:13 UTC 2025","","test_smoke","",""
"","0","test_data_integrator_creds_keep_on_working","tests.integration.ha_tests","Wed Jul 30 03:44:26 UTC 2025","skipped","Wed Jul 30 03:44:26 UTC 2025","","test_async_replication","",""
"Build the charm and deploy it.","658756","test_deploy_active","tests.integration","Wed Jul 30 04:32:26 UTC 2025","passed","Wed Jul 30 04:43:24 UTC 2025","","test_password_rotation","",""
"","0","test_removing_unit[roles0]","tests.integration.ha_tests","Wed Jul 30 04:55:38 UTC 2025","skipped","Wed Jul 30 04:55:38 UTC 2025","","test_scaling_three_units_async","",""
"","0","test_filter_out_degraded_replicas","tests.integration.new_relations","Wed Jul 30 05:22:49 UTC 2025","skipped","Wed Jul 30 05:22:49 UTC 2025","","test_new_relations_1","",""
"","0","test_deploy","tests.integration","Wed Jul 30 04:28:38 UTC 2025","skipped","Wed Jul 30 04:28:38 UTC 2025","","test_subordinates","",""
"","0","test_removing_unit[roles4]","tests.integration.ha_tests","Wed Jul 30 04:55:38 UTC 2025","skipped","Wed Jul 30 04:55:38 UTC 2025","","test_scaling_three_units_async","",""
"","0","test_removing_unit[roles1]","tests.integration.ha_tests","Wed Jul 30 04:26:23 UTC 2025","skipped","Wed Jul 30 04:26:23 UTC 2025","","test_scaling_three_units","",""
"","61","test_exporter_is_up[1]","tests.integration","Wed Jul 30 04:25:46 UTC 2025","passed","Wed Jul 30 04:25:46 UTC 2025","","test_charm","",""
"","0","test_get_data_integrator_credentials","tests.integration.ha_tests","Wed Jul 30 03:44:26 UTC 2025","skipped","Wed Jul 30 03:44:26 UTC 2025","","test_async_replication","",""
"Completely cut and restore network (situation when the unit IP doesn't change).","0","test_network_cut_without_ip_change","tests.integration.ha_tests","Wed Jul 30 04:40:42 UTC 2025","skipped","Wed Jul 30 04:40:42 UTC 2025","","test_self_healing","",""
"Write to primary, read data from secondaries (check consistency).","0","test_consistency","tests.integration.ha_tests","Wed Jul 30 04:29:50 UTC 2025","skipped","Wed Jul 30 04:29:50 UTC 2025","","test_replication","",""
"","40144","test_default_all","tests.integration.ha_tests","Wed Jul 30 03:53:41 UTC 2025","passed","Wed Jul 30 03:54:21 UTC 2025","","test_synchronous_policy","",""
"","466930","test_pg_hba","tests.integration","Wed Jul 30 03:43:06 UTC 2025","passed","Wed Jul 30 03:50:53 UTC 2025","","test_pg_hba","",""
"Test the audit plugin.","285818","test_audit_plugin","tests.integration","Wed Jul 30 03:26:29 UTC 2025","passed","Wed Jul 30 03:31:15 UTC 2025","","test_audit","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2453","test_password_from_secret_same_as_cli","tests.integration","Wed Jul 30 04:51:31 UTC 2025","passed","Wed Jul 30 04:51:34 UTC 2025","","test_password_rotation","",""
"","0","test_interruption_db_process[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Wed Jul 30 04:40:42 UTC 2025","skipped","Wed Jul 30 04:40:42 UTC 2025","","test_self_healing","",""
"Build and deploy three unit of PostgreSQL.","1510327","test_build_and_deploy","tests.integration.ha_tests","Wed Jul 30 04:15:24 UTC 2025","broken","Wed Jul 30 04:40:34 UTC 2025","","test_self_healing","",""
"Build, deploy two units of PostgreSQL and do backup in AWS. Then, write new data into DB, switch WAL file and test point-in-time-recovery restore action.","0","test_pitr_backup_aws","tests.integration","Wed Jul 30 03:13:18 UTC 2025","skipped","Wed Jul 30 03:13:18 UTC 2025","","test_backups_pitr_aws","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","Wed Jul 30 03:35:12 UTC 2025","skipped","Wed Jul 30 03:35:12 UTC 2025","","test_backups_gcp","",""
"Remove unit with force while storage is alive.","196765","test_app_force_removal","tests.integration.ha_tests","Wed Jul 30 04:21:52 UTC 2025","passed","Wed Jul 30 04:25:09 UTC 2025","","test_smoke","",""
"Test application deploy in dirty environment with garbage storage from another application.","0","test_app_resources_conflicts_v2","tests.integration.ha_tests","Wed Jul 30 04:51:13 UTC 2025","skipped","Wed Jul 30 04:51:13 UTC 2025","","test_smoke","",""
"","586","test_postgresql_locales","tests.integration","Wed Jul 30 04:25:51 UTC 2025","passed","Wed Jul 30 04:25:52 UTC 2025","","test_charm","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","Wed Jul 30 04:20:11 UTC 2025","skipped","Wed Jul 30 04:20:11 UTC 2025","","test_upgrade","",""
"","1036","test_settings_are_correct[0]","tests.integration","Wed Jul 30 04:25:46 UTC 2025","passed","Wed Jul 30 04:25:47 UTC 2025","","test_charm","",""
"","0","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","Wed Jul 30 04:40:34 UTC 2025","skipped","Wed Jul 30 04:40:34 UTC 2025","","test_self_healing","",""
"","0","test_removing_unit[roles2]","tests.integration.ha_tests","Wed Jul 30 04:26:23 UTC 2025","skipped","Wed Jul 30 04:26:23 UTC 2025","","test_scaling_three_units","",""
"","0","test_legacy_endpoint_with_multiple_related_endpoints","tests.integration.relations","Wed Jul 30 04:39:21 UTC 2025","skipped","Wed Jul 30 04:39:21 UTC 2025","","test_relations","",""
"","0","test_modern_endpoint_with_multiple_related_endpoints","tests.integration.relations","Wed Jul 30 04:39:21 UTC 2025","skipped","Wed Jul 30 04:39:21 UTC 2025","","test_relations","",""
"Test that an application can connect to different clusters of the same database.","0","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","Wed Jul 30 05:22:49 UTC 2025","skipped","Wed Jul 30 05:22:49 UTC 2025","","test_new_relations_1","",""
"","39","test_exporter_is_up[0]","tests.integration","Wed Jul 30 04:25:46 UTC 2025","passed","Wed Jul 30 04:25:46 UTC 2025","","test_charm","",""
"Test that the relation can be broken and re-established.","0","test_reestablish_relation","tests.integration.ha_tests","Wed Jul 30 03:44:26 UTC 2025","skipped","Wed Jul 30 03:44:26 UTC 2025","","test_async_replication","",""
"Test async replication between two PostgreSQL clusters.","0","test_async_replication","tests.integration.ha_tests","Wed Jul 30 03:44:26 UTC 2025","skipped","Wed Jul 30 03:44:26 UTC 2025","","test_async_replication","",""
"","0","test_interruption_db_process[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Wed Jul 30 04:40:42 UTC 2025","skipped","Wed Jul 30 04:40:42 UTC 2025","","test_self_healing","",""
"Completely cut and restore network.","0","test_network_cut","tests.integration.ha_tests","Wed Jul 30 04:40:42 UTC 2025","skipped","Wed Jul 30 04:40:42 UTC 2025","","test_self_healing","",""
"","0","test_removing_unit[roles0]","tests.integration.ha_tests","Wed Jul 30 04:26:23 UTC 2025","skipped","Wed Jul 30 04:26:23 UTC 2025","","test_scaling_three_units","",""
"","0","test_invalid_extra_user_roles","tests.integration.new_relations","Wed Jul 30 05:22:49 UTC 2025","skipped","Wed Jul 30 05:22:49 UTC 2025","","test_new_relations_1","",""
"Build and deploy three unit of PostgreSQL.","1509615","test_build_and_deploy","tests.integration.ha_tests","Wed Jul 30 04:04:35 UTC 2025","broken","Wed Jul 30 04:29:44 UTC 2025","","test_replication","",""
"","1004940","test_roles_blocking","tests.integration","Wed Jul 30 04:32:54 UTC 2025","broken","Wed Jul 30 04:49:39 UTC 2025","","test_db","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","0","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","Wed Jul 30 04:40:42 UTC 2025","skipped","Wed Jul 30 04:40:42 UTC 2025","","test_self_healing","",""
"Test promoting the standby cluster.","0","test_promote_standby","tests.integration.ha_tests","Wed Jul 30 03:44:26 UTC 2025","skipped","Wed Jul 30 03:44:26 UTC 2025","","test_async_replication","",""
"","0","test_removing_unit[roles3]","tests.integration.ha_tests","Wed Jul 30 04:55:38 UTC 2025","skipped","Wed Jul 30 04:55:38 UTC 2025","","test_scaling_three_units_async","",""
"Test that async replication fails over correctly.","0","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","Wed Jul 30 03:44:26 UTC 2025","skipped","Wed Jul 30 03:44:26 UTC 2025","","test_async_replication","",""
"Test that TLS is enabled when relating to the TLS Certificates Operator.","940791","test_tls_enabled","tests.integration","Wed Jul 30 04:08:42 UTC 2025","passed","Wed Jul 30 04:24:23 UTC 2025","","test_tls","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","475958","test_plugins","tests.integration","Wed Jul 30 03:35:51 UTC 2025","passed","Wed Jul 30 03:43:47 UTC 2025","","test_plugins","",""
"","1000520","test_extensions_blocking","tests.integration","Wed Jul 30 04:49:39 UTC 2025","broken","Wed Jul 30 05:06:20 UTC 2025","","test_db","",""
