"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15952","test_default_all","tests.integration.ha_tests","Fri Aug 01 03:43:28 UTC 2025","passed","Fri Aug 01 03:43:44 UTC 2025","","test_synchronous_policy","",""
"Build, deploy two units of PostgreSQL and do backup in AWS. Then, write new data into DB, switch WAL file and test point-in-time-recovery restore action.","0","test_pitr_backup_aws","tests.integration","Fri Aug 01 04:29:26 UTC 2025","skipped","Fri Aug 01 04:29:26 UTC 2025","","test_backups_pitr_aws","",""
"Test that TLS is enabled when relating to the TLS Certificates Operator.","1126925","test_tls_enabled","tests.integration","Fri Aug 01 04:46:20 UTC 2025","passed","Fri Aug 01 05:05:07 UTC 2025","","test_tls","",""
"","0","test_removing_unit[roles3]","tests.integration.ha_tests","Fri Aug 01 04:44:39 UTC 2025","skipped","Fri Aug 01 04:44:39 UTC 2025","","test_scaling_three_units_async","",""
"Test that in general, there is no change when password validation fails.","11550","test_no_password_change_on_invalid_password","tests.integration","Fri Aug 01 04:12:38 UTC 2025","passed","Fri Aug 01 04:12:50 UTC 2025","","test_password_rotation","",""
"","1706","test_postgresql_locales","tests.integration","Fri Aug 01 04:01:15 UTC 2025","passed","Fri Aug 01 04:01:17 UTC 2025","","test_charm","",""
"Test that async replication works when scaling the clusters.","0","test_scaling","tests.integration.ha_tests","Fri Aug 01 03:55:06 UTC 2025","skipped","Fri Aug 01 03:55:06 UTC 2025","","test_async_replication","",""
"Test that passwords don't get exposed on postgresql logs.","5906","test_no_password_exposed_on_logs","tests.integration","Fri Aug 01 04:12:50 UTC 2025","passed","Fri Aug 01 04:12:56 UTC 2025","","test_password_rotation","",""
"Remove unit with force while storage is alive.","175633","test_app_force_removal","tests.integration.ha_tests","Fri Aug 01 04:17:02 UTC 2025","passed","Fri Aug 01 04:19:58 UTC 2025","","test_smoke","",""
"","0","test_upgrade_from_edge","tests.integration.ha_tests","Fri Aug 01 04:48:46 UTC 2025","skipped","Fri Aug 01 04:48:46 UTC 2025","","test_upgrade","",""
"Completely cut and restore network (situation when the unit IP doesn't change).","0","test_network_cut_without_ip_change","tests.integration.ha_tests","Fri Aug 01 04:51:14 UTC 2025","skipped","Fri Aug 01 04:51:14 UTC 2025","","test_self_healing","",""
"Test data is replicated to new units after a scale up.","1555067","test_scale_down_and_up","tests.integration","Fri Aug 01 04:04:07 UTC 2025","passed","Fri Aug 01 04:30:02 UTC 2025","","test_charm","",""
"","0","test_scale_up","tests.integration","Fri Aug 01 04:19:13 UTC 2025","skipped","Fri Aug 01 04:19:13 UTC 2025","","test_subordinates","",""
"Write to primary, read data from secondaries (check consistency).","0","test_consistency","tests.integration.ha_tests","Fri Aug 01 04:14:58 UTC 2025","skipped","Fri Aug 01 04:14:58 UTC 2025","","test_replication","",""
"Test that a relation with no database name doesn't block the charm.","0","test_relation_with_no_database_name","tests.integration.new_relations","Fri Aug 01 04:36:29 UTC 2025","skipped","Fri Aug 01 04:36:29 UTC 2025","","test_new_relations_1","",""
"","0","test_freeze_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Fri Aug 01 04:51:14 UTC 2025","skipped","Fri Aug 01 04:51:14 UTC 2025","","test_self_healing","",""
"","0","test_removing_unit[roles1]","tests.integration.ha_tests","Fri Aug 01 04:44:39 UTC 2025","skipped","Fri Aug 01 04:44:39 UTC 2025","","test_scaling_three_units_async","",""
"","0","test_deploy","tests.integration","Fri Aug 01 04:19:13 UTC 2025","skipped","Fri Aug 01 04:19:13 UTC 2025","","test_subordinates","",""
"Test that's possible to change PostgreSQL parameters.","170266","test_postgresql_parameters_change","tests.integration","Fri Aug 01 04:01:17 UTC 2025","passed","Fri Aug 01 04:04:07 UTC 2025","","test_charm","",""
"Test charm deploy in dirty environment with garbage storage.","405499","test_charm_garbage_ignorance","tests.integration.ha_tests","Fri Aug 01 04:19:58 UTC 2025","passed","Fri Aug 01 04:26:44 UTC 2025","","test_smoke","",""
"Build the charm and deploy it.","7467","test_deploy_active","tests.integration","Fri Aug 01 04:46:13 UTC 2025","passed","Fri Aug 01 04:46:20 UTC 2025","","test_tls","",""
"","1035","test_settings_are_correct[0]","tests.integration","Fri Aug 01 04:01:12 UTC 2025","passed","Fri Aug 01 04:01:13 UTC 2025","","test_charm","",""
"","0","test_removing_stereo_sync_standby","tests.integration.ha_tests","Fri Aug 01 04:58:51 UTC 2025","skipped","Fri Aug 01 04:58:51 UTC 2025","","test_scaling","",""
"Test superuser actions and the request for more permissions.","0","test_user_with_extra_roles","tests.integration.new_relations","Fri Aug 01 04:36:29 UTC 2025","skipped","Fri Aug 01 04:36:29 UTC 2025","","test_new_relations_1","",""
"","0","test_removing_unit[roles4]","tests.integration.ha_tests","Fri Aug 01 04:44:39 UTC 2025","skipped","Fri Aug 01 04:44:39 UTC 2025","","test_scaling_three_units_async","",""
