"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that an application can connect to different clusters of the same database.","","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","","unknown","","","test_new_relations_1","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2426","test_password_from_secret_same_as_cli","tests.integration","Sat Aug 02 03:56:43 UTC 2025","passed","Sat Aug 02 03:56:46 UTC 2025","","test_password_rotation","",""
"","0","test_removing_stereo_sync_standby","tests.integration.ha_tests","Sat Aug 02 04:04:25 UTC 2025","skipped","Sat Aug 02 04:04:25 UTC 2025","","test_scaling","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","Sat Aug 02 04:22:48 UTC 2025","skipped","Sat Aug 02 04:22:48 UTC 2025","","test_self_healing","",""
"Test that an application can request additional databases using the same interface.","","test_an_application_can_request_multiple_databases","tests.integration.new_relations","","unknown","","","test_new_relations_1","",""
"","0","test_freeze_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Sat Aug 02 04:22:48 UTC 2025","skipped","Sat Aug 02 04:22:48 UTC 2025","","test_self_healing","",""
"Test data is replicated to new units after a scale up.","1717556","test_scale_down_and_up","tests.integration","Sat Aug 02 03:26:53 UTC 2025","passed","Sat Aug 02 03:55:30 UTC 2025","","test_charm","",""
"Kill primary unit, check reelection.","0","test_reelection","tests.integration.ha_tests","Sat Aug 02 04:21:36 UTC 2025","skipped","Sat Aug 02 04:21:36 UTC 2025","","test_replication","",""
"Build and deploy two PostgreSQL clusters.","1508095","test_build_and_deploy","tests.integration.ha_tests","Sat Aug 02 03:39:16 UTC 2025","broken","Sat Aug 02 04:04:24 UTC 2025","","test_scaling","",""
"","0","test_interruption_db_process[SIGKILL-postgres]","tests.integration.ha_tests","Sat Aug 02 04:22:48 UTC 2025","skipped","Sat Aug 02 04:22:48 UTC 2025","","test_self_healing","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","148854","test_plugin_objects","tests.integration","Sat Aug 02 04:24:46 UTC 2025","passed","Sat Aug 02 04:27:14 UTC 2025","","test_plugins","",""
"","0","test_removing_unit[roles1]","tests.integration.ha_tests","Sat Aug 02 04:13:47 UTC 2025","skipped","Sat Aug 02 04:13:47 UTC 2025","","test_scaling_three_units","",""
"","0","test_removing_unit[roles0]","tests.integration.ha_tests","Sat Aug 02 04:33:25 UTC 2025","skipped","Sat Aug 02 04:33:25 UTC 2025","","test_scaling_three_units_async","",""
"","1004884","test_roles_blocking","tests.integration","Sat Aug 02 03:30:51 UTC 2025","broken","Sat Aug 02 03:47:36 UTC 2025","","test_db","",""
"Build and deploy two PostgreSQL clusters.","1506641","test_build_and_deploy","tests.integration.ha_tests","Sat Aug 02 03:48:40 UTC 2025","broken","Sat Aug 02 04:13:47 UTC 2025","","test_scaling_three_units","",""
"Test that TLS is enabled when relating to the TLS Certificates Operator.","989758","test_tls_enabled","tests.integration","Sat Aug 02 03:56:07 UTC 2025","passed","Sat Aug 02 04:12:37 UTC 2025","","test_tls","",""
"Test password rotation action.","391857","test_password_rotation","tests.integration","Sat Aug 02 03:50:11 UTC 2025","passed","Sat Aug 02 03:56:43 UTC 2025","","test_password_rotation","",""
"Build and deploy three unit of PostgreSQL.","1509371","test_build_and_deploy","tests.integration.ha_tests","Sat Aug 02 03:57:34 UTC 2025","broken","Sat Aug 02 04:22:43 UTC 2025","","test_self_healing","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","Sat Aug 02 04:21:45 UTC 2025","skipped","Sat Aug 02 04:21:45 UTC 2025","","test_upgrade","",""
"Test charm deploy in dirty environment with garbage storage.","544071","test_charm_garbage_ignorance","tests.integration.ha_tests","Sat Aug 02 03:49:44 UTC 2025","passed","Sat Aug 02 03:58:48 UTC 2025","","test_smoke","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","2024584","test_deploy_async_replication_setup","tests.integration.ha_tests","Sat Aug 02 02:56:31 UTC 2025","broken","Sat Aug 02 03:30:16 UTC 2025","","test_async_replication","",""
"Test application deploy in dirty environment with garbage storage from another application.","1010935","test_app_resources_conflicts_v3","tests.integration.ha_tests","Sat Aug 02 03:58:48 UTC 2025","passed","Sat Aug 02 04:15:39 UTC 2025","","test_smoke","",""
"","0","test_modern_endpoint_with_multiple_related_endpoints","tests.integration.relations","Sat Aug 02 05:02:04 UTC 2025","skipped","Sat Aug 02 05:02:04 UTC 2025","","test_relations","",""
"Build and deploy two PostgreSQL clusters.","641784","test_build_and_deploy","tests.integration.ha_tests","Sat Aug 02 04:05:05 UTC 2025","passed","Sat Aug 02 04:15:47 UTC 2025","","test_synchronous_policy","",""
"","0","test_removing_unit[roles1]","tests.integration.ha_tests","Sat Aug 02 04:33:25 UTC 2025","skipped","Sat Aug 02 04:33:25 UTC 2025","","test_scaling_three_units_async","",""
"Build and deploy two units of PostgreSQL in GCP, test backup and restore actions.","0","test_backup_gcp","tests.integration","Sat Aug 02 03:08:58 UTC 2025","skipped","Sat Aug 02 03:08:58 UTC 2025","","test_backups_gcp","",""
"Test that user can't connect with empty password.","2042","test_db_connection_with_empty_password","tests.integration","Sat Aug 02 03:57:21 UTC 2025","passed","Sat Aug 02 03:57:23 UTC 2025","","test_password_rotation","",""
"Test that in general, there is no change when password validation fails.","11574","test_no_password_change_on_invalid_password","tests.integration","Sat Aug 02 03:57:23 UTC 2025","passed","Sat Aug 02 03:57:35 UTC 2025","","test_password_rotation","",""
"Test data persists through a primary deletion.","420152","test_persist_data_through_primary_deletion","tests.integration","Sat Aug 02 03:55:55 UTC 2025","passed","Sat Aug 02 04:02:55 UTC 2025","","test_charm","",""
"Test switching over to the second cluster.","0","test_switchover","tests.integration.ha_tests","Sat Aug 02 03:30:16 UTC 2025","skipped","Sat Aug 02 03:30:16 UTC 2025","","test_async_replication","",""
"Test that async replication works when scaling the clusters.","0","test_scaling","tests.integration.ha_tests","Sat Aug 02 03:30:16 UTC 2025","skipped","Sat Aug 02 03:30:16 UTC 2025","","test_async_replication","",""
"Deploy Landscape Scalable Bundle to test the 'db-admin' relation.","1951835","test_landscape_scalable_bundle_db","tests.integration","Sat Aug 02 03:00:03 UTC 2025","passed","Sat Aug 02 03:32:35 UTC 2025","","test_db_admin","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","1206913","test_deploy_stable","tests.integration.ha_tests","Sat Aug 02 03:54:06 UTC 2025","broken","Sat Aug 02 04:14:13 UTC 2025","","test_upgrade_from_stable","",""
"Remove unit with force while storage is alive.","191451","test_app_force_removal","tests.integration.ha_tests","Sat Aug 02 03:46:33 UTC 2025","passed","Sat Aug 02 03:49:44 UTC 2025","","test_smoke","",""
"Test that relation data, like connection data, is updated correctly when scaling.","","test_relation_data_is_updated_correctly_when_scaling","tests.integration.new_relations","","unknown","","","test_new_relations_1","",""
"","0","test_removing_raft_majority","tests.integration.ha_tests","Sat Aug 02 04:04:25 UTC 2025","skipped","Sat Aug 02 04:04:25 UTC 2025","","test_scaling","",""
"Deploy the charm-under-test.

    Assert on the unit status before any relations/configurations take place.
    ","664028","test_deploy","tests.integration","Sat Aug 02 03:13:50 UTC 2025","passed","Sat Aug 02 03:24:54 UTC 2025","","test_charm","",""
"Test that there is no read-only endpoint in a standalone cluster.","","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","","unknown","","","test_new_relations_1","",""
"","0","test_get_data_integrator_credentials","tests.integration.ha_tests","Sat Aug 02 03:30:16 UTC 2025","skipped","Sat Aug 02 03:30:16 UTC 2025","","test_async_replication","",""
"","0","test_scale_down","tests.integration","Sat Aug 02 04:07:05 UTC 2025","skipped","Sat Aug 02 04:07:05 UTC 2025","","test_subordinates","",""
"","1028","test_settings_are_correct[1]","tests.integration","Sat Aug 02 03:24:55 UTC 2025","passed","Sat Aug 02 03:24:56 UTC 2025","","test_charm","",""
"","","test_filter_out_degraded_replicas","tests.integration.new_relations","","unknown","","","test_new_relations_1","",""
"Test that the pre-upgrade-check action runs successfully.","0","test_pre_upgrade_check","tests.integration.ha_tests","Sat Aug 02 04:21:45 UTC 2025","skipped","Sat Aug 02 04:21:45 UTC 2025","","test_upgrade","",""
"","0","test_interruption_db_process[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Sat Aug 02 04:22:48 UTC 2025","skipped","Sat Aug 02 04:22:48 UTC 2025","","test_self_healing","",""
"Test that async replication fails over correctly.","0","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","Sat Aug 02 03:30:16 UTC 2025","skipped","Sat Aug 02 03:30:16 UTC 2025","","test_async_replication","",""
"","","test_invalid_extra_user_roles","tests.integration.new_relations","","unknown","","","test_new_relations_1","",""
"Test that the relation can be broken and re-established.","0","test_reestablish_relation","tests.integration.ha_tests","Sat Aug 02 03:30:16 UTC 2025","skipped","Sat Aug 02 03:30:16 UTC 2025","","test_async_replication","",""
"","1038","test_settings_are_correct[0]","tests.integration","Sat Aug 02 03:24:54 UTC 2025","passed","Sat Aug 02 03:24:55 UTC 2025","","test_charm","",""
"Build and deploy two units of PostgreSQL in AWS, test backup and restore actions.","0","test_backup_aws","tests.integration","Sat Aug 02 03:00:10 UTC 2025","skipped","Sat Aug 02 03:00:10 UTC 2025","","test_backups_aws","",""
"","0","test_nextcloud_db_blocked","tests.integration.new_relations","Sat Aug 02 03:04:01 UTC 2025","skipped","Sat Aug 02 03:04:01 UTC 2025","","test_new_relations_2","",""
"Test that two different application connect to the database with different credentials.","","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","","unknown","","","test_new_relations_1","",""
"","0","test_removing_unit[roles3]","tests.integration.ha_tests","Sat Aug 02 04:13:47 UTC 2025","skipped","Sat Aug 02 04:13:47 UTC 2025","","test_scaling_three_units","",""
