"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that async replication fails over correctly.","0","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","Thu Aug 14 03:49:21 UTC 2025","skipped","Thu Aug 14 03:49:21 UTC 2025","","test_async_replication","",""
"Build and deploy two units of PostgreSQL in GCP, test backup and restore actions.","0","test_backup_gcp","tests.integration","Thu Aug 14 03:51:26 UTC 2025","skipped","Thu Aug 14 03:51:26 UTC 2025","","test_backups_gcp","",""
"Test that's possible to change PostgreSQL parameters.","161644","test_postgresql_parameters_change","tests.integration","Thu Aug 14 03:34:04 UTC 2025","passed","Thu Aug 14 03:36:46 UTC 2025","","test_charm","",""
"","0","test_filter_out_degraded_replicas","tests.integration.new_relations","Thu Aug 14 03:56:16 UTC 2025","skipped","Thu Aug 14 03:56:16 UTC 2025","","test_new_relations_1","",""
"","0","test_removing_unit[roles2]","tests.integration.ha_tests","Thu Aug 14 04:40:58 UTC 2025","skipped","Thu Aug 14 04:40:58 UTC 2025","","test_scaling_three_units_async","",""
"","1031","test_settings_are_correct[2]","tests.integration","Thu Aug 14 03:34:03 UTC 2025","passed","Thu Aug 14 03:34:04 UTC 2025","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Thu Aug 14 03:38:24 UTC 2025","skipped","Thu Aug 14 03:38:24 UTC 2025","","test_self_healing","",""
"","0","test_removing_unit[roles0]","tests.integration.ha_tests","Thu Aug 14 04:40:58 UTC 2025","skipped","Thu Aug 14 04:40:58 UTC 2025","","test_scaling_three_units_async","",""
"","0","test_scale_up","tests.integration","Thu Aug 14 03:33:47 UTC 2025","skipped","Thu Aug 14 03:33:47 UTC 2025","","test_subordinates","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","2025486","test_deploy_async_replication_setup","tests.integration.ha_tests","Thu Aug 14 03:15:35 UTC 2025","broken","Thu Aug 14 03:49:21 UTC 2025","","test_async_replication","",""
"Build the charm and deploy it.","6071","test_deploy_active","tests.integration","Thu Aug 14 03:11:04 UTC 2025","passed","Thu Aug 14 03:11:10 UTC 2025","","test_tls","",""
"Test basic functionality of database relation interface.","0","test_database_relation_with_charm_libraries","tests.integration.new_relations","Thu Aug 14 03:56:16 UTC 2025","skipped","Thu Aug 14 03:56:16 UTC 2025","","test_new_relations_1","",""
"","0","test_removing_unit[roles3]","tests.integration.ha_tests","Thu Aug 14 04:40:58 UTC 2025","skipped","Thu Aug 14 04:40:58 UTC 2025","","test_scaling_three_units_async","",""
"Deploy both charms (application and database) to use in the tests.","3006913","test_deploy_charms","tests.integration.relations","Thu Aug 14 03:06:02 UTC 2025","broken","Thu Aug 14 03:56:09 UTC 2025","","test_relations","",""
"","0","test_removing_unit[roles0]","tests.integration.ha_tests","Thu Aug 14 04:01:11 UTC 2025","skipped","Thu Aug 14 04:01:11 UTC 2025","","test_scaling_three_units","",""
"","0","test_modern_endpoint_with_multiple_related_endpoints","tests.integration.relations","Thu Aug 14 03:56:09 UTC 2025","skipped","Thu Aug 14 03:56:09 UTC 2025","","test_relations","",""
"Recreates the cluster from storage volumes.","1099575","test_cluster_restore","tests.integration.ha_tests","Thu Aug 14 04:18:58 UTC 2025","passed","Thu Aug 14 04:37:18 UTC 2025","","test_restore_cluster","",""
"","33","test_exporter_is_up[0]","tests.integration","Thu Aug 14 03:33:59 UTC 2025","passed","Thu Aug 14 03:33:59 UTC 2025","","test_charm","",""
"Test that async replication fails back correctly.","0","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","Thu Aug 14 03:49:21 UTC 2025","skipped","Thu Aug 14 03:49:21 UTC 2025","","test_async_replication","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    ","0","test_storage_re_use","tests.integration.ha_tests","Thu Aug 14 03:38:20 UTC 2025","skipped","Thu Aug 14 03:38:20 UTC 2025","","test_self_healing","",""
"","0","test_data_integrator_creds_keep_on_working","tests.integration.ha_tests","Thu Aug 14 03:49:21 UTC 2025","skipped","Thu Aug 14 03:49:21 UTC 2025","","test_async_replication","",""
"","0","test_legacy_endpoint_with_multiple_related_endpoints","tests.integration.relations","Thu Aug 14 03:56:09 UTC 2025","skipped","Thu Aug 14 03:56:09 UTC 2025","","test_relations","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","464273","test_plugins","tests.integration","Thu Aug 14 03:44:47 UTC 2025","passed","Thu Aug 14 03:52:31 UTC 2025","","test_plugins","",""
"Test that a relation with no database name doesn't block the charm.","0","test_relation_with_no_database_name","tests.integration.new_relations","Thu Aug 14 03:56:16 UTC 2025","skipped","Thu Aug 14 03:56:16 UTC 2025","","test_new_relations_1","",""
"Test that check relation data.","188175","test_relations","tests.integration.new_relations","Thu Aug 14 03:46:14 UTC 2025","broken","Thu Aug 14 03:49:22 UTC 2025","","test_relations_coherence","",""
"Test that the admin role gives access to all the databases.","0","test_admin_role","tests.integration.new_relations","Thu Aug 14 03:56:16 UTC 2025","skipped","Thu Aug 14 03:56:16 UTC 2025","","test_new_relations_1","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2374","test_password_from_secret_same_as_cli","tests.integration","Thu Aug 14 04:03:20 UTC 2025","passed","Thu Aug 14 04:03:22 UTC 2025","","test_password_rotation","",""
"Build and deploy two PostgreSQL clusters.","792547","test_build_and_deploy","tests.integration.ha_tests","Thu Aug 14 04:05:46 UTC 2025","passed","Thu Aug 14 04:18:58 UTC 2025","","test_restore_cluster","",""
"Test async replication between two PostgreSQL clusters.","0","test_async_replication","tests.integration.ha_tests","Thu Aug 14 03:49:21 UTC 2025","skipped","Thu Aug 14 03:49:21 UTC 2025","","test_async_replication","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","190224","test_config_parameters","tests.integration","Thu Aug 14 03:59:36 UTC 2025","passed","Thu Aug 14 04:02:46 UTC 2025","","test_config","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","Thu Aug 14 03:38:24 UTC 2025","skipped","Thu Aug 14 03:38:24 UTC 2025","","test_self_healing","",""
"","0","test_removing_unit[roles1]","tests.integration.ha_tests","Thu Aug 14 04:01:11 UTC 2025","skipped","Thu Aug 14 04:01:11 UTC 2025","","test_scaling_three_units","",""
"","0","test_removing_unit[roles1]","tests.integration.ha_tests","Thu Aug 14 04:40:58 UTC 2025","skipped","Thu Aug 14 04:40:58 UTC 2025","","test_scaling_three_units_async","",""
"Test that there is no read-only endpoint in a standalone cluster.","0","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","Thu Aug 14 03:56:16 UTC 2025","skipped","Thu Aug 14 03:56:16 UTC 2025","","test_new_relations_1","",""
"","0","test_interruption_db_process[SIGKILL-postgres]","tests.integration.ha_tests","Thu Aug 14 03:38:24 UTC 2025","skipped","Thu Aug 14 03:38:24 UTC 2025","","test_self_healing","",""
"","0","test_removing_raft_majority","tests.integration.ha_tests","Thu Aug 14 04:36:27 UTC 2025","skipped","Thu Aug 14 04:36:27 UTC 2025","","test_scaling","",""
"","0","test_interruption_db_process[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Thu Aug 14 03:38:24 UTC 2025","skipped","Thu Aug 14 03:38:24 UTC 2025","","test_self_healing","",""
"","4","test_database_is_up[0]","tests.integration","Thu Aug 14 03:33:58 UTC 2025","passed","Thu Aug 14 03:33:58 UTC 2025","","test_charm","",""
"Test that the password can't be set to an empty string.","33348","test_empty_password","tests.integration","Thu Aug 14 04:03:22 UTC 2025","passed","Thu Aug 14 04:03:55 UTC 2025","","test_password_rotation","",""
"","0","test_removing_unit[roles4]","tests.integration.ha_tests","Thu Aug 14 04:40:58 UTC 2025","skipped","Thu Aug 14 04:40:58 UTC 2025","","test_scaling_three_units_async","",""
"Build and deploy two PostgreSQL clusters.","658643","test_build_and_deploy","tests.integration.ha_tests","Thu Aug 14 03:58:25 UTC 2025","passed","Thu Aug 14 04:09:23 UTC 2025","","test_synchronous_policy","",""
"Test that the relation can be broken and re-established.","0","test_reestablish_relation","tests.integration.ha_tests","Thu Aug 14 03:49:21 UTC 2025","skipped","Thu Aug 14 03:49:21 UTC 2025","","test_async_replication","",""
