"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","774921","test_removing_unit[roles4]","tests.integration.ha_tests","Wed Jul 09 05:00:35 UTC 2025","passed","Wed Jul 09 05:13:30 UTC 2025","","test_scaling_three_units_async","",""
"","0","test_scale_up","tests.integration","Wed Jul 09 04:14:02 UTC 2025","skipped","Wed Jul 09 04:14:02 UTC 2025","","test_subordinates","",""
"Build and deploy two PostgreSQL clusters.","758663","test_build_and_deploy","tests.integration.ha_tests","Wed Jul 09 03:59:29 UTC 2025","passed","Wed Jul 09 04:12:07 UTC 2025","","test_scaling_three_units","",""
"Test that TLS is enabled when relating to the TLS Certificates Operator.","1093588","test_tls_enabled","tests.integration","Wed Jul 09 03:50:39 UTC 2025","passed","Wed Jul 09 04:08:52 UTC 2025","","test_tls","",""
"Deploy Mailman3 Core to test the 'db' relation.","751359","test_mailman3_core_db","tests.integration","Wed Jul 09 03:40:18 UTC 2025","passed","Wed Jul 09 03:52:50 UTC 2025","","test_db","",""
"","150452","test_modern_endpoint_with_multiple_related_endpoints","tests.integration.relations","Wed Jul 09 03:36:38 UTC 2025","failed","Wed Jul 09 03:39:09 UTC 2025","","test_relations","",""
"Test basic functionality of database relation interface.","3697","test_database_relation_with_charm_libraries","tests.integration.new_relations","Wed Jul 09 04:23:48 UTC 2025","passed","Wed Jul 09 04:23:52 UTC 2025","","test_new_relations_1","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","140531","test_plugin_objects","tests.integration","Wed Jul 09 03:33:09 UTC 2025","passed","Wed Jul 09 03:35:30 UTC 2025","","test_plugins","",""
"Test that passwords don't get exposed on postgresql logs.","518","test_no_password_exposed_on_logs","tests.integration","Wed Jul 09 04:03:13 UTC 2025","passed","Wed Jul 09 04:03:13 UTC 2025","","test_password_rotation","",""
"","1018","test_get_data_integrator_credentials","tests.integration.ha_tests","Wed Jul 09 04:28:13 UTC 2025","passed","Wed Jul 09 04:28:14 UTC 2025","","test_async_replication","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","0","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","Wed Jul 09 03:46:22 UTC 2025","skipped","Wed Jul 09 03:46:22 UTC 2025","","test_self_healing","",""
"Build and deploy two PostgreSQL clusters.","622825","test_build_and_deploy","tests.integration.ha_tests","Wed Jul 09 04:09:34 UTC 2025","passed","Wed Jul 09 04:19:57 UTC 2025","","test_synchronous_policy","",""
