"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","160086","test_full_cluster_restart[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Sat Jul 12 04:55:16 UTC 2025","passed","Sat Jul 12 04:57:56 UTC 2025","","test_self_healing","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","1072207","test_deploy_async_replication_setup","tests.integration.ha_tests","Sat Jul 12 03:02:09 UTC 2025","passed","Sat Jul 12 03:20:01 UTC 2025","","test_async_replication","",""
"Test basic functionality of database relation interface.","3616","test_database_relation_with_charm_libraries","tests.integration.new_relations","Sat Jul 12 03:13:47 UTC 2025","passed","Sat Jul 12 03:13:51 UTC 2025","","test_new_relations_1","",""
"Test that the password can't be set to an empty string.","35302","test_empty_password","tests.integration","Sat Jul 12 04:12:03 UTC 2025","passed","Sat Jul 12 04:12:38 UTC 2025","","test_password_rotation","",""
"","249867","test_upgrade_from_edge","tests.integration.ha_tests","Sat Jul 12 04:23:03 UTC 2025","passed","Sat Jul 12 04:27:13 UTC 2025","","test_upgrade","",""
"","356","test_invalid_extra_user_roles","tests.integration.new_relations","Sat Jul 12 03:43:33 UTC 2025","broken","Sat Jul 12 03:43:34 UTC 2025","","test_new_relations_1","",""
"","773578","test_removing_unit[roles3]","tests.integration.ha_tests","Sat Jul 12 04:18:43 UTC 2025","passed","Sat Jul 12 04:31:37 UTC 2025","","test_scaling_three_units_async","",""
"Build and deploy two PostgreSQL clusters.","726026","test_build_and_deploy","tests.integration.ha_tests","Sat Jul 12 03:38:24 UTC 2025","passed","Sat Jul 12 03:50:30 UTC 2025","","test_scaling_three_units_async","",""
"","0","test_scale_down","tests.integration","Sat Jul 12 04:22:29 UTC 2025","skipped","Sat Jul 12 04:22:29 UTC 2025","","test_subordinates","",""
"Deploy the charm-under-test.

    Assert on the unit status before any relations/configurations take place.
    ","674856","test_deploy","tests.integration","Sat Jul 12 02:57:17 UTC 2025","passed","Sat Jul 12 03:08:32 UTC 2025","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","84260","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Sat Jul 12 05:00:23 UTC 2025","passed","Sat Jul 12 05:01:48 UTC 2025","","test_self_healing","",""
"Test that async replication fails over correctly.","132111","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","Sat Jul 12 03:56:04 UTC 2025","passed","Sat Jul 12 03:58:16 UTC 2025","","test_async_replication","",""
"Write to primary, read data from secondaries (check consistency).","11885","test_consistency","tests.integration.ha_tests","Sat Jul 12 04:03:18 UTC 2025","passed","Sat Jul 12 04:03:30 UTC 2025","","test_replication","",""
"Build and deploy two units of PostgreSQL in AWS, test backup and restore actions.","0","test_backup_aws","tests.integration","Sat Jul 12 03:32:54 UTC 2025","skipped","Sat Jul 12 03:32:54 UTC 2025","","test_backups_aws","",""
"","20908","test_extensions_blocking","tests.integration","Sat Jul 12 03:41:48 UTC 2025","passed","Sat Jul 12 03:42:09 UTC 2025","","test_db","",""
"Test that the relation can be broken and re-established.","566417","test_reestablish_relation","tests.integration.ha_tests","Sat Jul 12 03:46:36 UTC 2025","passed","Sat Jul 12 03:56:03 UTC 2025","","test_async_replication","",""
"","439785","test_removing_stereo_sync_standby","tests.integration.ha_tests","Sat Jul 12 04:11:30 UTC 2025","passed","Sat Jul 12 04:18:50 UTC 2025","","test_scaling","",""
"","707213","test_removing_unit[roles2]","tests.integration.ha_tests","Sat Jul 12 04:08:44 UTC 2025","passed","Sat Jul 12 04:20:32 UTC 2025","","test_scaling_three_units","",""
"Test that check relation data.","178515","test_relations","tests.integration.new_relations","Sat Jul 12 03:57:42 UTC 2025","broken","Sat Jul 12 04:00:41 UTC 2025","","test_relations_coherence","",""
"","0","test_nextcloud_db_blocked","tests.integration.new_relations","Sat Jul 12 02:57:35 UTC 2025","skipped","Sat Jul 12 02:57:35 UTC 2025","","test_new_relations_2","",""
"","49","test_exporter_is_up[2]","tests.integration","Sat Jul 12 03:08:32 UTC 2025","passed","Sat Jul 12 03:08:32 UTC 2025","","test_charm","",""
"Test updating from stable channel.","426406","test_upgrade_from_stable","tests.integration.ha_tests","Sat Jul 12 04:02:17 UTC 2025","passed","Sat Jul 12 04:09:24 UTC 2025","","test_upgrade_from_stable","",""
"Test that an application can connect to different clusters of the same database.","83989","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","Sat Jul 12 03:20:38 UTC 2025","passed","Sat Jul 12 03:22:02 UTC 2025","","test_new_relations_1","",""
"","1024","test_settings_are_correct[2]","tests.integration","Sat Jul 12 03:08:34 UTC 2025","passed","Sat Jul 12 03:08:35 UTC 2025","","test_charm","",""
"","15933","test_default_all","tests.integration.ha_tests","Sat Jul 12 03:54:42 UTC 2025","passed","Sat Jul 12 03:54:58 UTC 2025","","test_synchronous_policy","",""
"Build and deploy three unit of PostgreSQL.","699034","test_build_and_deploy","tests.integration.ha_tests","Sat Jul 12 03:47:39 UTC 2025","passed","Sat Jul 12 03:59:18 UTC 2025","","test_replication","",""
"","240734","test_filter_out_degraded_replicas","tests.integration.new_relations","Sat Jul 12 03:13:51 UTC 2025","passed","Sat Jul 12 03:17:52 UTC 2025","","test_new_relations_1","",""
