"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that the pre-upgrade-check action runs successfully.","0","test_pre_upgrade_check","tests.integration.ha_tests","Tue Jul 29 04:16:26 UTC 2025","skipped","Tue Jul 29 04:16:26 UTC 2025","","test_upgrade","",""
"Build the charm and deploy it.","646433","test_deploy_active","tests.integration","Tue Jul 29 03:30:20 UTC 2025","passed","Tue Jul 29 03:41:06 UTC 2025","","test_password_rotation","",""
"Test that a relation with no database name doesn't block the charm.","0","test_relation_with_no_database_name","tests.integration.new_relations","Tue Jul 29 04:33:15 UTC 2025","skipped","Tue Jul 29 04:33:15 UTC 2025","","test_new_relations_1","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2350","test_password_from_secret_same_as_cli","tests.integration","Tue Jul 29 03:48:22 UTC 2025","passed","Tue Jul 29 03:48:24 UTC 2025","","test_password_rotation","",""
"Build and deploy two PostgreSQL clusters.","874057","test_build_and_deploy","tests.integration.ha_tests","Tue Jul 29 03:37:47 UTC 2025","passed","Tue Jul 29 03:52:21 UTC 2025","","test_restore_cluster","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","Tue Jul 29 04:21:01 UTC 2025","skipped","Tue Jul 29 04:21:01 UTC 2025","","test_backups_gcp","",""
"Test switching over to the second cluster.","0","test_switchover","tests.integration.ha_tests","Tue Jul 29 04:31:13 UTC 2025","skipped","Tue Jul 29 04:31:13 UTC 2025","","test_async_replication","",""
"","0","test_removing_unit[roles0]","tests.integration.ha_tests","Tue Jul 29 04:54:21 UTC 2025","skipped","Tue Jul 29 04:54:21 UTC 2025","","test_scaling_three_units","",""
"","57670","test_majority","tests.integration.ha_tests","Tue Jul 29 03:40:40 UTC 2025","passed","Tue Jul 29 03:41:38 UTC 2025","","test_synchronous_policy","",""
"","0","test_removing_unit[roles2]","tests.integration.ha_tests","Tue Jul 29 04:33:18 UTC 2025","skipped","Tue Jul 29 04:33:18 UTC 2025","","test_scaling_three_units_async","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","135555","test_plugin_objects","tests.integration","Tue Jul 29 03:46:05 UTC 2025","passed","Tue Jul 29 03:48:20 UTC 2025","","test_plugins","",""
"","0","test_scale_down","tests.integration","Tue Jul 29 03:52:42 UTC 2025","skipped","Tue Jul 29 03:52:42 UTC 2025","","test_subordinates","",""
"Test data is replicated to new units after a scale up.","1648260","test_scale_down_and_up","tests.integration","Tue Jul 29 04:28:44 UTC 2025","passed","Tue Jul 29 04:56:13 UTC 2025","","test_charm","",""
"","3","test_database_is_up[2]","tests.integration","Tue Jul 29 04:26:12 UTC 2025","passed","Tue Jul 29 04:26:12 UTC 2025","","test_charm","",""
"Test superuser actions and the request for more permissions.","0","test_user_with_extra_roles","tests.integration.new_relations","Tue Jul 29 04:33:15 UTC 2025","skipped","Tue Jul 29 04:33:15 UTC 2025","","test_new_relations_1","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","2027597","test_deploy_async_replication_setup","tests.integration.ha_tests","Tue Jul 29 03:57:25 UTC 2025","broken","Tue Jul 29 04:31:13 UTC 2025","","test_async_replication","",""
"Deploy the charm-under-test.

    Assert on the unit status before any relations/configurations take place.
    ","590628","test_deploy","tests.integration","Tue Jul 29 04:16:21 UTC 2025","passed","Tue Jul 29 04:26:11 UTC 2025","","test_charm","",""
"","181","test_postgresql_locales","tests.integration","Tue Jul 29 04:26:17 UTC 2025","passed","Tue Jul 29 04:26:17 UTC 2025","","test_charm","",""
"Write to primary, read data from secondaries (check consistency).","0","test_consistency","tests.integration.ha_tests","Tue Jul 29 04:12:13 UTC 2025","skipped","Tue Jul 29 04:12:13 UTC 2025","","test_replication","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Tue Jul 29 04:18:38 UTC 2025","skipped","Tue Jul 29 04:18:38 UTC 2025","","test_self_healing","",""
"","0","test_invalid_extra_user_roles","tests.integration.new_relations","Tue Jul 29 04:33:15 UTC 2025","skipped","Tue Jul 29 04:33:15 UTC 2025","","test_new_relations_1","",""
"","0","test_get_data_integrator_credentials","tests.integration.ha_tests","Tue Jul 29 04:31:13 UTC 2025","skipped","Tue Jul 29 04:31:13 UTC 2025","","test_async_replication","",""
"","0","test_removing_unit[roles2]","tests.integration.ha_tests","Tue Jul 29 04:54:21 UTC 2025","skipped","Tue Jul 29 04:54:21 UTC 2025","","test_scaling_three_units","",""
"","16046","test_default_all","tests.integration.ha_tests","Tue Jul 29 03:40:24 UTC 2025","passed","Tue Jul 29 03:40:40 UTC 2025","","test_synchronous_policy","",""
"","2047","test_settings_are_correct[0]","tests.integration","Tue Jul 29 04:26:12 UTC 2025","passed","Tue Jul 29 04:26:14 UTC 2025","","test_charm","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","1505991","test_deploy_latest","tests.integration.ha_tests","Tue Jul 29 03:51:20 UTC 2025","broken","Tue Jul 29 04:16:26 UTC 2025","","test_upgrade","",""
"","5","test_database_is_up[0]","tests.integration","Tue Jul 29 04:26:11 UTC 2025","passed","Tue Jul 29 04:26:12 UTC 2025","","test_charm","",""
"","0","test_interruption_db_process[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Tue Jul 29 04:18:38 UTC 2025","skipped","Tue Jul 29 04:18:38 UTC 2025","","test_self_healing","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","0","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","Tue Jul 29 04:18:38 UTC 2025","skipped","Tue Jul 29 04:18:38 UTC 2025","","test_self_healing","",""
"","0","test_removing_unit[roles3]","tests.integration.ha_tests","Tue Jul 29 04:33:18 UTC 2025","skipped","Tue Jul 29 04:33:18 UTC 2025","","test_scaling_three_units_async","",""
"Test basic functionality of database relation interface.","0","test_database_relation_with_charm_libraries","tests.integration.new_relations","Tue Jul 29 04:33:15 UTC 2025","skipped","Tue Jul 29 04:33:15 UTC 2025","","test_new_relations_1","",""
"Completely cut and restore network (situation when the unit IP doesn't change).","0","test_network_cut_without_ip_change","tests.integration.ha_tests","Tue Jul 29 04:18:38 UTC 2025","skipped","Tue Jul 29 04:18:38 UTC 2025","","test_self_healing","",""
"Check that writes in one cluster are not replicated to another cluster.","0","test_no_data_replicated_between_clusters","tests.integration.ha_tests","Tue Jul 29 04:12:13 UTC 2025","skipped","Tue Jul 29 04:12:13 UTC 2025","","test_replication","",""
