"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","test_removing_unit[roles1]","tests.integration.ha_tests","","unknown","","","test_scaling_three_units_async","",""
"Test that TLS is enabled when relating to the TLS Certificates Operator.","913866","test_tls_enabled","tests.integration","2025-11-10","passed","2025-11-10","","test_tls","",""
"","0","test_interruption_db_process[SIGKILL-postgres]","tests.integration.ha_tests","2025-11-10","skipped","2025-11-10","","test_self_healing","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","464951","test_plugins","tests.integration","2025-11-10","passed","2025-11-10","","test_plugins","",""
"","0","test_removing_stereo_primary","tests.integration.ha_tests","2025-11-10","skipped","2025-11-10","","test_scaling","",""
"Deploy both charms (application and database) to use in the tests.","","test_deploy_charms","tests.integration.new_relations","","unknown","","","test_new_relations_1","",""
"","65","test_exporter_is_up[2]","tests.integration","2025-11-10","passed","2025-11-10","","test_charm","",""
"Test data persists through a primary deletion.","368203","test_persist_data_through_primary_deletion","tests.integration","2025-11-10","passed","2025-11-10","","test_charm","",""
"","","test_fail_and_rollback","tests.integration.ha_tests","","unknown","","","test_upgrade","",""
"Test that there is no read-only endpoint in a standalone cluster.","","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","","unknown","","","test_new_relations_1","",""
"Test that an application can connect to different clusters of the same database.","","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","","unknown","","","test_new_relations_1","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","0","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","2025-11-10","skipped","2025-11-10","","test_self_healing","",""
"","","test_invalid_extra_user_roles","tests.integration.new_relations","","unknown","","","test_new_relations_1","",""
"Build and deploy three unit of PostgreSQL.","1510187","test_build_and_deploy","tests.integration.ha_tests","2025-11-10","broken","2025-11-10","","test_replication","",""
"","","test_upgrade_from_edge","tests.integration.ha_tests","","unknown","","","test_upgrade","",""
"","0","test_get_data_integrator_credentials","tests.integration.ha_tests","2025-11-10","skipped","2025-11-10","","test_async_replication","",""
"Build and deploy two PostgreSQL clusters.","686124","test_build_and_deploy","tests.integration.ha_tests","2025-11-10","passed","2025-11-10","","test_synchronous_policy","",""
"","5","test_database_is_up[0]","tests.integration","2025-11-10","passed","2025-11-10","","test_charm","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","2029155","test_deploy_async_replication_setup","tests.integration.ha_tests","2025-11-10","broken","2025-11-10","","test_async_replication","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","2025-11-10","skipped","2025-11-10","","test_self_healing","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","","test_deploy_latest","tests.integration.ha_tests","","unknown","","","test_upgrade","",""
"Test that async replication works when scaling the clusters.","0","test_scaling","tests.integration.ha_tests","2025-11-10","skipped","2025-11-10","","test_async_replication","",""
"","0","test_freeze_db_process[postgres]","tests.integration.ha_tests","2025-11-10","skipped","2025-11-10","","test_self_healing","",""
"","0","test_removing_unit[roles3]","tests.integration.ha_tests","2025-11-10","skipped","2025-11-10","","test_scaling_three_units","",""
"","0","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","2025-11-10","skipped","2025-11-10","","test_self_healing","",""
"Build and deploy two units of PostgreSQL in AWS, test backup and restore actions.","","test_backup_aws","tests.integration","","unknown","","","test_backups_aws","",""
"Completely cut and restore network (situation when the unit IP doesn't change).","0","test_network_cut_without_ip_change","tests.integration.ha_tests","2025-11-10","skipped","2025-11-10","","test_self_healing","",""
"","0","test_deploy","tests.integration","2025-11-10","skipped","2025-11-10","","test_subordinates","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","203962","test_config_parameters","tests.integration","2025-11-10","passed","2025-11-10","","test_config","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","2025-11-10","skipped","2025-11-10","","test_backups_gcp","",""
"Build and deploy two PostgreSQL clusters.","1507244","test_build_and_deploy","tests.integration.ha_tests","2025-11-10","broken","2025-11-10","","test_scaling_three_units","",""
"Build and deploy three unit of PostgreSQL.","1510532","test_build_and_deploy","tests.integration.ha_tests","2025-11-10","broken","2025-11-10","","test_self_healing","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    ","0","test_storage_re_use","tests.integration.ha_tests","2025-11-10","skipped","2025-11-10","","test_self_healing","",""
"","0","test_removing_unit[roles1]","tests.integration.ha_tests","2025-11-10","skipped","2025-11-10","","test_scaling_three_units","",""
"Test that relation data, like connection data, is updated correctly when scaling.","","test_relation_data_is_updated_correctly_when_scaling","tests.integration.new_relations","","unknown","","","test_new_relations_1","",""
"Test the audit plugin.","","test_audit_plugin","tests.integration","","unknown","","","test_audit","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","2025-11-10","skipped","2025-11-10","","test_self_healing","",""
"Completely cut and restore network.","0","test_network_cut","tests.integration.ha_tests","2025-11-10","skipped","2025-11-10","","test_self_healing","",""
"","3073","test_settings_are_correct[0]","tests.integration","2025-11-10","passed","2025-11-10","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","2025-11-10","skipped","2025-11-10","","test_self_healing","",""
"Build the charm and deploy it.","618301","test_deploy_active","tests.integration","2025-11-10","passed","2025-11-10","","test_password_rotation","",""
"","1000494","test_extensions_blocking","tests.integration","2025-11-10","broken","2025-11-10","","test_db","",""
"Test that two different application connect to the database with different credentials.","","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","","unknown","","","test_new_relations_1","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2476","test_password_from_secret_same_as_cli","tests.integration","2025-11-10","passed","2025-11-10","","test_password_rotation","",""
"Test that check relation data.","","test_relations","tests.integration.new_relations","","unknown","","","test_relations_coherence","",""
"","220","test_postgresql_locales","tests.integration","2025-11-10","passed","2025-11-10","","test_charm","",""
"","","test_filter_out_degraded_replicas","tests.integration.new_relations","","unknown","","","test_new_relations_1","",""
"Test that the pre-upgrade-check action runs successfully.","","test_pre_upgrade_check","tests.integration.ha_tests","","unknown","","","test_upgrade","",""
