"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Build and deploy two units of PostgreSQL in GCP, test backup and restore actions.","","test_backup_gcp","tests.integration","","unknown","","","test_backups_gcp","",""
"","","test_canonical_livepatch_onprem_bundle_db","tests.integration","","unknown","","","test_db","",""
"","","test_scale_up","tests.integration","","unknown","","","test_subordinates","",""
"","0","test_invalid_extra_user_roles","tests.integration.new_relations","2025-09-20","skipped","2025-09-20","","test_new_relations_1","",""
"Test application deploy in dirty environment with garbage storage from another application.","0","test_app_resources_conflicts_v2","tests.integration.ha_tests","2025-09-20","skipped","2025-09-20","","test_smoke","",""
"","","test_removing_unit[roles3]","tests.integration.ha_tests","","unknown","","","test_scaling_three_units","",""
"Completely cut and restore network.","0","test_network_cut","tests.integration.ha_tests","2025-09-20","skipped","2025-09-20","","test_self_healing","",""
"","0","test_upgrade_from_edge","tests.integration.ha_tests","2025-09-20","skipped","2025-09-20","","test_upgrade","",""
"","53","test_exporter_is_up[0]","tests.integration","2025-09-20","passed","2025-09-20","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","2025-09-20","skipped","2025-09-20","","test_self_healing","",""
"Test that async replication fails over correctly.","","test_async_replication_failover_in_main_cluster","tests.integration.ha_tests","","unknown","","","test_async_replication","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","2025-09-20","skipped","2025-09-20","","test_self_healing","",""
"","2051","test_settings_are_correct[0]","tests.integration","2025-09-20","passed","2025-09-20","","test_charm","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","1505433","test_deploy_latest","tests.integration.ha_tests","2025-09-20","broken","2025-09-20","","test_upgrade","",""
"Test superuser actions and the request for more permissions.","0","test_user_with_extra_roles","tests.integration.new_relations","2025-09-20","skipped","2025-09-20","","test_new_relations_1","",""
"Test that relation data, like connection data, is updated correctly when scaling.","","test_relation_data_is_updated_correctly_when_scaling","tests.integration","","unknown","","","test_db","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","","test_plugin_objects","tests.integration","","unknown","","","test_plugins","",""
"Test that an application can connect to different clusters of the same database.","0","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","2025-09-20","skipped","2025-09-20","","test_new_relations_1","",""
"Test switching over to the second cluster.","","test_switchover","tests.integration.ha_tests","","unknown","","","test_async_replication","",""
"Test that relation data, like connection data, is updated correctly when scaling.","0","test_relation_data_is_updated_correctly_when_scaling","tests.integration.new_relations","2025-09-20","skipped","2025-09-20","","test_new_relations_1","",""
"","","test_removing_stereo_sync_standby","tests.integration.ha_tests","","unknown","","","test_scaling","",""
"Recreates the cluster from storage volumes.","","test_cluster_restore","tests.integration.ha_tests","","unknown","","","test_restore_cluster","",""
"Test that async replication works when scaling the clusters.","","test_scaling","tests.integration.ha_tests","","unknown","","","test_async_replication","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","0","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","2025-09-20","skipped","2025-09-20","","test_self_healing","",""
"Build and deploy two PostgreSQL clusters.","","test_build_and_deploy","tests.integration.ha_tests","","unknown","","","test_scaling_three_units_async","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","1206964","test_deploy_stable","tests.integration.ha_tests","2025-09-20","broken","2025-09-20","","test_upgrade_from_stable","",""
"","","test_removing_unit[roles0]","tests.integration.ha_tests","","unknown","","","test_scaling_three_units","",""
"Test that in general, there is no change when password validation fails.","9477","test_no_password_change_on_invalid_password","tests.integration","2025-09-20","passed","2025-09-20","","test_password_rotation","",""
"","0","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","2025-09-20","skipped","2025-09-20","","test_self_healing","",""
"","","test_scale_down","tests.integration","","unknown","","","test_subordinates","",""
"Test that passwords don't get exposed on postgresql logs.","622","test_no_password_exposed_on_logs","tests.integration","2025-09-20","passed","2025-09-20","","test_password_rotation","",""
"Write to primary, read data from secondaries (check consistency).","","test_consistency","tests.integration.ha_tests","","unknown","","","test_replication","",""
"","72181","test_constant","tests.integration.ha_tests","2025-09-20","passed","2025-09-20","","test_synchronous_policy","",""
"Build, deploy two units of PostgreSQL and do backup in AWS. Then, write new data into DB, switch WAL file and test point-in-time-recovery restore action.","","test_pitr_backup_aws","tests.integration","","unknown","","","test_backups_pitr_aws","",""
"","","test_removing_unit[roles2]","tests.integration.ha_tests","","unknown","","","test_scaling_three_units_async","",""
"","0","test_interruption_db_process[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","2025-09-20","skipped","2025-09-20","","test_self_healing","",""
"Completely cut and restore network (situation when the unit IP doesn't change).","0","test_network_cut_without_ip_change","tests.integration.ha_tests","2025-09-20","skipped","2025-09-20","","test_self_healing","",""
"","","test_removing_unit[roles1]","tests.integration.ha_tests","","unknown","","","test_scaling_three_units_async","",""
"","2","test_database_is_up[2]","tests.integration","2025-09-20","passed","2025-09-20","","test_charm","",""
"","","test_roles_blocking","tests.integration","","unknown","","","test_db","",""
"Test that there is no read-only endpoint in a standalone cluster.","1","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","2025-09-20","skipped","2025-09-20","","test_new_relations_1","",""
"","","test_removing_unit[roles3]","tests.integration.ha_tests","","unknown","","","test_scaling_three_units_async","",""
"","","test_scale_to_five_units","tests.integration.ha_tests","","unknown","","","test_scaling","",""
"","","test_get_data_integrator_credentials","tests.integration.ha_tests","","unknown","","","test_async_replication","",""
"Test async replication between two PostgreSQL clusters.","","test_async_replication","tests.integration.ha_tests","","unknown","","","test_async_replication","",""
"Test that TLS is enabled when relating to the TLS Certificates Operator.","1119649","test_tls_enabled","tests.integration","2025-09-20","passed","2025-09-20","","test_tls","",""
"","","test_modern_endpoint_with_multiple_related_endpoints","tests.integration.relations","","unknown","","","test_relations","",""
"Deploy both charms (application and database) to use in the tests.","","test_deploy_charms","tests.integration.relations","","unknown","","","test_relations","",""
"Test that the pre-upgrade-check action runs successfully.","0","test_pre_upgrade_check","tests.integration.ha_tests","2025-09-20","skipped","2025-09-20","","test_upgrade_from_stable","",""
"","","test_data_integrator_creds_keep_on_working","tests.integration.ha_tests","","unknown","","","test_async_replication","",""
"","0","test_interruption_db_process[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","2025-09-20","skipped","2025-09-20","","test_self_healing","",""
"Build and deploy two units of PostgreSQL in microceph, test backup and restore actions.","","test_backup_ceph","tests.integration","","unknown","","","test_backups_ceph","",""
"Test data is replicated to new units after a scale up.","1394030","test_scale_down_and_up","tests.integration","2025-09-20","passed","2025-09-20","","test_charm","",""
"","","test_removing_unit[roles4]","tests.integration.ha_tests","","unknown","","","test_scaling_three_units_async","",""
"","1027","test_settings_are_correct[2]","tests.integration","2025-09-20","passed","2025-09-20","","test_charm","",""
"Build and deploy two units of PostgreSQL in AWS, test backup and restore actions.","0","test_backup_aws","tests.integration","2025-09-20","skipped","2025-09-20","","test_backups_aws","",""
