"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test application deploy in dirty environment with garbage storage from another application.","0","test_app_resources_conflicts_v2","tests.integration.ha_tests","Fri Jul 18 04:46:41 UTC 2025","skipped","Fri Jul 18 04:46:41 UTC 2025","","test_smoke","",""
"Test that the pre-upgrade-check action runs successfully.","3458","test_pre_upgrade_check","tests.integration.ha_tests","Fri Jul 18 04:02:49 UTC 2025","passed","Fri Jul 18 04:02:52 UTC 2025","","test_upgrade","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","0","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","Fri Jul 18 04:26:04 UTC 2025","skipped","Fri Jul 18 04:26:04 UTC 2025","","test_self_healing","",""
"Build and deploy two units of PostgreSQL in AWS, test backup and restore actions.","0","test_backup_aws","tests.integration","Fri Jul 18 03:05:46 UTC 2025","skipped","Fri Jul 18 03:05:46 UTC 2025","","test_backups_aws","",""
"Test updating from stable channel.","415204","test_upgrade_from_stable","tests.integration.ha_tests","Fri Jul 18 03:57:08 UTC 2025","passed","Fri Jul 18 04:04:03 UTC 2025","","test_upgrade_from_stable","",""
"Test that in general, there is no change when password validation fails.","11554","test_no_password_change_on_invalid_password","tests.integration","Fri Jul 18 04:34:46 UTC 2025","passed","Fri Jul 18 04:34:58 UTC 2025","","test_password_rotation","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","Fri Jul 18 03:08:46 UTC 2025","skipped","Fri Jul 18 03:08:46 UTC 2025","","test_backups_gcp","",""
"","0","test_canonical_livepatch_onprem_bundle_db","tests.integration","Fri Jul 18 03:36:26 UTC 2025","skipped","Fri Jul 18 03:36:26 UTC 2025","","test_db","",""
"Test that passwords don't get exposed on postgresql logs.","4039","test_no_password_exposed_on_logs","tests.integration","Fri Jul 18 04:34:58 UTC 2025","passed","Fri Jul 18 04:35:02 UTC 2025","","test_password_rotation","",""
"","196545","test_filter_out_degraded_replicas","tests.integration.new_relations","Fri Jul 18 04:34:16 UTC 2025","passed","Fri Jul 18 04:37:32 UTC 2025","","test_new_relations_1","",""
