"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test data is replicated to new units after a scale up.","1572672","test_scale_down_and_up","tests.integration","Tue Jun 24 03:21:36 UTC 2025","passed","Tue Jun 24 03:47:49 UTC 2025","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","162914","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Tue Jun 24 04:48:58 UTC 2025","passed","Tue Jun 24 04:51:41 UTC 2025","","test_self_healing","",""
"Test password rotation action.","330941","test_password_rotation","tests.integration","Tue Jun 24 04:15:06 UTC 2025","passed","Tue Jun 24 04:20:37 UTC 2025","","test_password_rotation","",""
"","429049","test_freeze_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Tue Jun 24 04:31:50 UTC 2025","passed","Tue Jun 24 04:38:59 UTC 2025","","test_self_healing","",""
"","56","test_exporter_is_up[1]","tests.integration","Tue Jun 24 03:18:04 UTC 2025","passed","Tue Jun 24 03:18:04 UTC 2025","","test_charm","",""
"","271423","test_upgrade_from_edge","tests.integration.ha_tests","Tue Jun 24 04:05:57 UTC 2025","passed","Tue Jun 24 04:10:29 UTC 2025","","test_upgrade","",""
"Kill primary unit, check reelection.","166839","test_reelection","tests.integration.ha_tests","Tue Jun 24 04:22:54 UTC 2025","passed","Tue Jun 24 04:25:41 UTC 2025","","test_replication","",""
"Test that the password can't be set to an empty string.","35323","test_empty_password","tests.integration","Tue Jun 24 04:20:40 UTC 2025","passed","Tue Jun 24 04:21:15 UTC 2025","","test_password_rotation","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","Tue Jun 24 03:10:38 UTC 2025","skipped","Tue Jun 24 03:10:38 UTC 2025","","test_backups_gcp","",""
"Build and deploy two PostgreSQL clusters.","637569","test_build_and_deploy","tests.integration.ha_tests","Tue Jun 24 03:50:22 UTC 2025","passed","Tue Jun 24 04:01:00 UTC 2025","","test_scaling_three_units","",""
"Build the charm and deploy it.","652996","test_deploy_active","tests.integration","Tue Jun 24 04:04:13 UTC 2025","passed","Tue Jun 24 04:15:06 UTC 2025","","test_password_rotation","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2392","test_password_from_secret_same_as_cli","tests.integration","Tue Jun 24 04:20:37 UTC 2025","passed","Tue Jun 24 04:20:40 UTC 2025","","test_password_rotation","",""
"","0","test_canonical_livepatch_onprem_bundle_db","tests.integration","Tue Jun 24 04:38:03 UTC 2025","skipped","Tue Jun 24 04:38:03 UTC 2025","","test_db","",""
"Deploy both charms (application and database) to use in the tests.","234725","test_deploy_charms","tests.integration.relations","Tue Jun 24 03:31:39 UTC 2025","passed","Tue Jun 24 03:35:34 UTC 2025","","test_relations","",""
"","513029","test_removing_unit[roles1]","tests.integration.ha_tests","Tue Jun 24 04:10:18 UTC 2025","passed","Tue Jun 24 04:18:51 UTC 2025","","test_scaling_three_units","",""
"Build and deploy two PostgreSQL clusters.","620345","test_build_and_deploy","tests.integration.ha_tests","Tue Jun 24 03:52:36 UTC 2025","passed","Tue Jun 24 04:02:56 UTC 2025","","test_synchronous_policy","",""
"Test updating from stable channel.","484323","test_upgrade_from_stable","tests.integration.ha_tests","Tue Jun 24 04:29:44 UTC 2025","passed","Tue Jun 24 04:37:49 UTC 2025","","test_upgrade_from_stable","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","147387","test_plugin_objects","tests.integration","Tue Jun 24 04:20:30 UTC 2025","passed","Tue Jun 24 04:22:57 UTC 2025","","test_plugins","",""
