"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that an application can request additional databases using the same interface.","70318","test_an_application_can_request_multiple_databases","tests.integration.new_relations","Fri Jun 20 03:56:34 UTC 2025","passed","Fri Jun 20 03:57:45 UTC 2025","","test_new_relations_1","",""
"","3","test_database_is_up[1]","tests.integration","Fri Jun 20 04:16:32 UTC 2025","passed","Fri Jun 20 04:16:32 UTC 2025","","test_charm","",""
"","0","test_nextcloud_db_blocked","tests.integration.new_relations","Fri Jun 20 03:42:01 UTC 2025","skipped","Fri Jun 20 03:42:01 UTC 2025","","test_new_relations_2","",""
"Build and deploy two PostgreSQL clusters.","618881","test_build_and_deploy","tests.integration.ha_tests","Fri Jun 20 04:11:18 UTC 2025","passed","Fri Jun 20 04:21:37 UTC 2025","","test_scaling","",""
"Test data persists through a primary deletion.","506981","test_persist_data_through_primary_deletion","tests.integration","Fri Jun 20 05:18:26 UTC 2025","broken","Fri Jun 20 05:26:53 UTC 2025","","test_charm","",""
"Remove unit with force while storage is alive.","184114","test_app_force_removal","tests.integration.ha_tests","Fri Jun 20 03:39:26 UTC 2025","passed","Fri Jun 20 03:42:30 UTC 2025","","test_smoke","",""
"","603244","test_removing_unit[roles1]","tests.integration.ha_tests","Fri Jun 20 04:13:39 UTC 2025","passed","Fri Jun 20 04:23:43 UTC 2025","","test_scaling_three_units","",""
"Test that the password can't be set to an empty string.","35369","test_empty_password","tests.integration","Fri Jun 20 04:28:28 UTC 2025","passed","Fri Jun 20 04:29:04 UTC 2025","","test_password_rotation","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","Fri Jun 20 03:08:39 UTC 2025","skipped","Fri Jun 20 03:08:39 UTC 2025","","test_backups_gcp","",""
"Test application deploy in dirty environment with garbage storage from another application.","0","test_app_resources_conflicts_v2","tests.integration.ha_tests","Fri Jun 20 04:08:10 UTC 2025","skipped","Fri Jun 20 04:08:10 UTC 2025","","test_smoke","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","578119","test_deploy_stable","tests.integration.ha_tests","Fri Jun 20 04:12:50 UTC 2025","passed","Fri Jun 20 04:22:28 UTC 2025","","test_upgrade_from_stable","",""
"Test basic functionality of database relation interface.","3654","test_database_relation_with_charm_libraries","tests.integration.new_relations","Fri Jun 20 03:47:34 UTC 2025","passed","Fri Jun 20 03:47:38 UTC 2025","","test_new_relations_1","",""
"Test that the pre-upgrade-check action runs successfully.","3200","test_pre_upgrade_check","tests.integration.ha_tests","Fri Jun 20 04:23:21 UTC 2025","passed","Fri Jun 20 04:23:24 UTC 2025","","test_upgrade","",""
"Deploy Landscape Scalable Bundle to test the 'db-admin' relation.","2465420","test_landscape_scalable_bundle_db","tests.integration","Fri Jun 20 03:49:10 UTC 2025","passed","Fri Jun 20 04:30:16 UTC 2025","","test_db_admin","",""
"","1023","test_get_data_integrator_credentials","tests.integration.ha_tests","Fri Jun 20 03:31:26 UTC 2025","passed","Fri Jun 20 03:31:27 UTC 2025","","test_async_replication","",""
"","238397","test_filter_out_degraded_replicas","tests.integration.new_relations","Fri Jun 20 03:47:38 UTC 2025","passed","Fri Jun 20 03:51:36 UTC 2025","","test_new_relations_1","",""
"Deploy both charms (application and database) to use in the tests.","232447","test_deploy_charms","tests.integration.relations","Fri Jun 20 03:33:25 UTC 2025","passed","Fri Jun 20 03:37:17 UTC 2025","","test_relations","",""
"","0","test_freeze_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Fri Jun 20 04:30:50 UTC 2025","skipped","Fri Jun 20 04:30:50 UTC 2025","","test_self_healing","",""
"Build the charm and deploy it.","628260","test_deploy_active","tests.integration","Fri Jun 20 04:12:01 UTC 2025","passed","Fri Jun 20 04:22:29 UTC 2025","","test_password_rotation","",""
"Check that writes in one cluster are not replicated to another cluster.","580965","test_no_data_replicated_between_clusters","tests.integration.ha_tests","Fri Jun 20 04:17:41 UTC 2025","passed","Fri Jun 20 04:27:22 UTC 2025","","test_replication","",""
"","689698","test_removing_unit[roles0]","tests.integration.ha_tests","Fri Jun 20 04:02:09 UTC 2025","passed","Fri Jun 20 04:13:38 UTC 2025","","test_scaling_three_units","",""
"","300883","test_upgrade_from_edge","tests.integration.ha_tests","Fri Jun 20 04:23:24 UTC 2025","passed","Fri Jun 20 04:28:25 UTC 2025","","test_upgrade","",""
"Deploy Mailman3 Core to test the 'db' relation.","691180","test_mailman3_core_db","tests.integration","Fri Jun 20 03:13:57 UTC 2025","passed","Fri Jun 20 03:25:28 UTC 2025","","test_db","",""
"Test updating from stable channel.","421261","test_upgrade_from_stable","tests.integration.ha_tests","Fri Jun 20 04:22:31 UTC 2025","passed","Fri Jun 20 04:29:33 UTC 2025","","test_upgrade_from_stable","",""
"Test that's possible to change PostgreSQL parameters.","184819","test_postgresql_parameters_change","tests.integration","Fri Jun 20 04:16:37 UTC 2025","passed","Fri Jun 20 04:19:42 UTC 2025","","test_charm","",""
"Test that a relation with no database name doesn't block the charm.","56509","test_relation_with_no_database_name","tests.integration.new_relations","Fri Jun 20 04:14:36 UTC 2025","passed","Fri Jun 20 04:15:32 UTC 2025","","test_new_relations_1","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Fri Jun 20 04:30:50 UTC 2025","skipped","Fri Jun 20 04:30:50 UTC 2025","","test_self_healing","",""
"Test async replication between two PostgreSQL clusters.","510017","test_async_replication","tests.integration.ha_tests","Fri Jun 20 03:22:55 UTC 2025","passed","Fri Jun 20 03:31:25 UTC 2025","","test_async_replication","",""
"Deploy the charm-under-test.

    Assert on the unit status before any relations/configurations take place.
    ","672028","test_deploy","tests.integration","Fri Jun 20 04:05:20 UTC 2025","passed","Fri Jun 20 04:16:32 UTC 2025","","test_charm","",""
"","119425","test_roles_blocking","tests.integration","Fri Jun 20 03:41:01 UTC 2025","passed","Fri Jun 20 03:43:01 UTC 2025","","test_db","",""
"Test that relation data, like connection data, is updated correctly when scaling.","1011393","test_relation_data_is_updated_correctly_when_scaling","tests.integration.new_relations","Fri Jun 20 03:57:45 UTC 2025","passed","Fri Jun 20 04:14:36 UTC 2025","","test_new_relations_1","",""
