"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","930276","test_removing_unit[roles4]","tests.integration.ha_tests","Sat Jul 19 04:00:43 UTC 2025","passed","Sat Jul 19 04:16:14 UTC 2025","","test_scaling_three_units_async","",""
"Deploy both charms (application and database) to use in the tests.","273347","test_deploy_charms","tests.integration.relations","Sat Jul 19 03:00:15 UTC 2025","passed","Sat Jul 19 03:04:48 UTC 2025","","test_relations","",""
"Test password rotation action.","350749","test_password_rotation","tests.integration","Sat Jul 19 04:27:34 UTC 2025","passed","Sat Jul 19 04:33:25 UTC 2025","","test_password_rotation","",""
"","792307","test_removing_unit[roles2]","tests.integration.ha_tests","Sat Jul 19 04:42:15 UTC 2025","passed","Sat Jul 19 04:55:28 UTC 2025","","test_scaling_three_units","",""
"","59","test_exporter_is_up[0]","tests.integration","Sat Jul 19 03:51:39 UTC 2025","passed","Sat Jul 19 03:51:39 UTC 2025","","test_charm","",""
"Build and deploy two PostgreSQL clusters.","666395","test_build_and_deploy","tests.integration.ha_tests","Sat Jul 19 03:59:37 UTC 2025","passed","Sat Jul 19 04:10:43 UTC 2025","","test_synchronous_policy","",""
"","2","test_database_is_up[1]","tests.integration","Sat Jul 19 03:51:39 UTC 2025","passed","Sat Jul 19 03:51:39 UTC 2025","","test_charm","",""
"Test that a relation with no database name doesn't block the charm.","59740","test_relation_with_no_database_name","tests.integration.new_relations","Sat Jul 19 03:50:24 UTC 2025","passed","Sat Jul 19 03:51:23 UTC 2025","","test_new_relations_1","",""
"","73662","test_constant","tests.integration.ha_tests","Sat Jul 19 04:12:04 UTC 2025","passed","Sat Jul 19 04:13:18 UTC 2025","","test_synchronous_policy","",""
"","0","test_scale_down","tests.integration","Sat Jul 19 03:45:26 UTC 2025","skipped","Sat Jul 19 03:45:26 UTC 2025","","test_subordinates","",""
"Test the audit plugin.","313713","test_audit_plugin","tests.integration","Sat Jul 19 03:45:34 UTC 2025","passed","Sat Jul 19 03:50:48 UTC 2025","","test_audit","",""
"Test that an application can connect to different clusters of the same database.","86371","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","Sat Jul 19 03:29:29 UTC 2025","passed","Sat Jul 19 03:30:55 UTC 2025","","test_new_relations_1","",""
"Test that there is no read-only endpoint in a standalone cluster.","44643","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","Sat Jul 19 03:14:51 UTC 2025","passed","Sat Jul 19 03:15:35 UTC 2025","","test_new_relations_1","",""
"Test data persists through a primary deletion.","449076","test_persist_data_through_primary_deletion","tests.integration","Sat Jul 19 04:20:25 UTC 2025","passed","Sat Jul 19 04:27:54 UTC 2025","","test_charm","",""
"Build, deploy two units of PostgreSQL and do backup in GCP. Then, write new data into DB, switch WAL file and test point-in-time-recovery restore action.","0","test_pitr_backup_gcp","tests.integration","Sat Jul 19 04:05:28 UTC 2025","skipped","Sat Jul 19 04:05:28 UTC 2025","","test_backups_pitr_gcp","",""
"","0","test_nextcloud_db_blocked","tests.integration.new_relations","Sat Jul 19 03:57:10 UTC 2025","skipped","Sat Jul 19 03:57:10 UTC 2025","","test_new_relations_2","",""
"","573161","test_removing_unit[roles2]","tests.integration.ha_tests","Sat Jul 19 03:32:45 UTC 2025","passed","Sat Jul 19 03:42:18 UTC 2025","","test_scaling_three_units_async","",""
