"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","Thu Jul 17 03:52:41 UTC 2025","skipped","Thu Jul 17 03:52:41 UTC 2025","","test_backups_gcp","",""
"Test that two different application connect to the database with different credentials.","167373","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","Thu Jul 17 03:54:48 UTC 2025","passed","Thu Jul 17 03:57:35 UTC 2025","","test_new_relations_1","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","209270","test_config_parameters","tests.integration","Thu Jul 17 04:14:45 UTC 2025","passed","Thu Jul 17 04:18:15 UTC 2025","","test_config","",""
"","2032","test_settings_are_correct[2]","tests.integration","Thu Jul 17 04:26:45 UTC 2025","passed","Thu Jul 17 04:26:47 UTC 2025","","test_charm","",""
"Test that there is no read-only endpoint in a standalone cluster.","44493","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","Thu Jul 17 03:43:32 UTC 2025","passed","Thu Jul 17 03:44:16 UTC 2025","","test_new_relations_1","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2589","test_password_from_secret_same_as_cli","tests.integration","Thu Jul 17 03:52:21 UTC 2025","passed","Thu Jul 17 03:52:24 UTC 2025","","test_password_rotation","",""
"Completely cut and restore network.","532388","test_network_cut","tests.integration.ha_tests","Thu Jul 17 04:08:16 UTC 2025","passed","Thu Jul 17 04:17:09 UTC 2025","","test_self_healing","",""
"","1123828","test_removing_unit[roles3]","tests.integration.ha_tests","Thu Jul 17 05:06:10 UTC 2025","passed","Thu Jul 17 05:24:54 UTC 2025","","test_scaling_three_units_async","",""
"","41","test_exporter_is_up[0]","tests.integration","Thu Jul 17 04:26:43 UTC 2025","passed","Thu Jul 17 04:26:43 UTC 2025","","test_charm","",""
"","88097","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","Thu Jul 17 03:45:30 UTC 2025","passed","Thu Jul 17 03:46:58 UTC 2025","","test_self_healing","",""
"Build, deploy two units of PostgreSQL and do backup in GCP. Then, write new data into DB, switch WAL file and test point-in-time-recovery restore action.","0","test_pitr_backup_gcp","tests.integration","Thu Jul 17 04:00:57 UTC 2025","skipped","Thu Jul 17 04:00:57 UTC 2025","","test_backups_pitr_gcp","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    ","704172","test_storage_re_use","tests.integration.ha_tests","Thu Jul 17 03:33:40 UTC 2025","passed","Thu Jul 17 03:45:25 UTC 2025","","test_self_healing","",""
"","574870","test_removing_unit[roles0]","tests.integration.ha_tests","Thu Jul 17 03:24:56 UTC 2025","passed","Thu Jul 17 03:34:31 UTC 2025","","test_scaling_three_units","",""
"","894930","test_removing_unit[roles4]","tests.integration.ha_tests","Thu Jul 17 05:24:55 UTC 2025","passed","Thu Jul 17 05:39:50 UTC 2025","","test_scaling_three_units_async","",""
"Test that an application can connect to different clusters of the same database.","88275","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","Thu Jul 17 03:57:35 UTC 2025","passed","Thu Jul 17 03:59:04 UTC 2025","","test_new_relations_1","",""
"Test that an application can request additional databases using the same interface.","71459","test_an_application_can_request_multiple_databases","tests.integration.new_relations","Thu Jul 17 04:00:29 UTC 2025","passed","Thu Jul 17 04:01:41 UTC 2025","","test_new_relations_1","",""
"Test async replication between two PostgreSQL clusters.","561665","test_async_replication","tests.integration.ha_tests","Thu Jul 17 03:18:38 UTC 2025","passed","Thu Jul 17 03:28:00 UTC 2025","","test_async_replication","",""
"Test that TLS is enabled when relating to the TLS Certificates Operator.","1046057","test_tls_enabled","tests.integration","Thu Jul 17 04:17:40 UTC 2025","passed","Thu Jul 17 04:35:06 UTC 2025","","test_tls","",""
"Test application deploy in dirty environment with garbage storage from another application.","0","test_app_resources_conflicts_v2","tests.integration.ha_tests","Thu Jul 17 04:43:53 UTC 2025","skipped","Thu Jul 17 04:43:53 UTC 2025","","test_smoke","",""
"","184","test_postgresql_locales","tests.integration","Thu Jul 17 04:26:47 UTC 2025","passed","Thu Jul 17 04:26:47 UTC 2025","","test_charm","",""
"","1037","test_settings_are_correct[0]","tests.integration","Thu Jul 17 04:26:43 UTC 2025","passed","Thu Jul 17 04:26:44 UTC 2025","","test_charm","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","1136966","test_deploy_async_replication_setup","tests.integration.ha_tests","Thu Jul 17 02:59:41 UTC 2025","passed","Thu Jul 17 03:18:38 UTC 2025","","test_async_replication","",""
"Test promoting the standby cluster.","287567","test_promote_standby","tests.integration.ha_tests","Thu Jul 17 03:44:15 UTC 2025","passed","Thu Jul 17 03:49:02 UTC 2025","","test_async_replication","",""
"Deploy both charms (application and database) to use in the tests.","300577","test_deploy_charms","tests.integration.relations","Thu Jul 17 04:11:35 UTC 2025","passed","Thu Jul 17 04:16:36 UTC 2025","","test_relations","",""
"Test that an application can connect to different clusters of the same database.","85751","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","Thu Jul 17 03:59:04 UTC 2025","passed","Thu Jul 17 04:00:29 UTC 2025","","test_new_relations_1","",""
